idHo,Ten_KH,Ten_TV,Mo_ta,idBo
40,Berberidaceae,Hoàng liên gai (Mã hồ),"Berberidaceae Juss. 1789Cây bụi có gai. Lá có răng dang gai mọc chụm.Cụm hoa chùm, ở ngọn. Cánh hoa 6, vàng. Nhị 6 có tuyến mật. Quả xanh đậm hay đenSố chi / số loài: 13 - 16 / 550 - 000, phân bố ở Chủ yếu ôn đới Bắc, vùng núi Nam Mỹ.Ở Việt Nam găp 4 chi, 6 loàiPhân loại: Họ có 2 phân họ với các tông: Nandineae, Berberideae, Epimedeae, Chlyeae.Giá trị kinh tế: Làm cảnh, ăn quả, nhuộm, làm thuốc: Hoàng liên gai (Berberis wallichiana).  ",75
41,Betulaceae,Cáng lò,"Betulaceae Gray 1821Họ Bạch dương hay còn gọi là họ Cáng lò bao gồm 6 chi các loài cây thân gỗ hay cây bụi có lá sớm rụng có quả hạch, bao gồm các loài bạch dương (bulô hay cáng lò), tống quán sủ, phỉ, trăn và hổ trăn. Chúng chủ yếu có nguồn gốc ở vùng ôn đới của Bắc bán cầu, với một vài loài có thể sinh sống ở Nam bán cầu trong khu vực dãy núi Andes ở Nam Mỹ.Trong quá khứ, họ này thường được chia thành hai họ là Betulaceae bao gồm hai chi Alnus, Betula và họ Corylaceae (phần còn lại). Tuy nhiên, các sắp xếp gần đây, bao gồm cả của APG, cho thấy họ Corylaceae được nhập chung vào Betulaceae.Lá đơn có răng cưa, mọc cách.Hoa đơn tính cùng gốc. Cụm hoa đực bông đuôi sóc; cụm hoa cái hình chuỳ hay hình cầu ở gốc từng hoa cái có một lá hoa phát triển. Hoa trần.Cụm quả với các lá hoa có dạng chuỳ hay cầu. Quả khôThế giới có 6 / 130 loài, phân bố ở Ôn đới Bắc, một vài loài vùng núi nhiệt đới và Nam Mỹ và Đông Nam Á.Ở Việt Nam có 5 chi, 6 loàiPhân loại: Hai phân họ Betuloideae và Coryloideae (Coryleae, Carpineae)Sử dụngLá và hạt của cây phỉ thông thường (Corylus avellana)Gỗ cứng, gỗ làm thuyền, than đốt, làm cảnh (Betula alnoides, Alnus nepalensisPhỉ thông thường (Corylus avellana) và phỉ Balkan (Corylus maxima) là các loài cây ăn quả quan trọng, được trồng để lấy hạt ăn được.Các chi khác bao gồm nhiều loài cây cảnh phổ biến, được trồng rộng rãi trong các công viên và các khu vườn lớn; một vài loài bạch dương được đánh giá cao do có vỏ trơn nhẵn, sáng màu.Gỗ của các loài cây này nói chung cứng, nặng và bền, cụ thể là gỗ từ các loài trăn. Một vài loài có tầm quan trọng kinh tế đáng kể trong quá khứ khi mà gỗ rất cứng có khả năng chống chịu hao mòn được yêu cầu, chẳng hạn cho các bánh xe do gia súc kéo, bánh răng gỗ hay các bánh xe nước, các loại thuyền chịu sóng gió, các chốt gỗ v.v. Trong phần lớn các ứng dụng này ngày nay gỗ được thay thế bằng kim loại hay các vật liệu nhân tạo.",29
42,Bignoniaceae,"Núc nác, Chùm ớt, Đinh, Quao","Bignoniaceae Juss. 1789Họ thực vật có danh pháp khoa học Bignoniaceae trong tiếng Việt có nhiều tên gọi như họ Chùm ớt, họ Đinh, họ Núc nác, họ Quao. Một trong những lý do để không có một tên gọi thống nhất cho họ này là trong danh pháp khoa học của các loài cây chùm ớt, đinh, núc nác, quao đều có từ đồng nghĩa thuộc chi Bignonia -là chi mà từ đó có danh pháp Bignoniaceae. Ngoài ra chi Bignonia có tới 499 danh pháp khoa học cho các loài nên rất khó xác định loài nào là đặc trưng nhất cho chi/họ. Họ này là một nhóm đơn vị phân loại trong thực vật có hoa bao gồm chủ yếu là cây thân gỗ, cây bụi, dây leo và một ít là cây thân thảo. Các thành viên trong họ này phân bổ khá rộng, ở cả Cựu Thế giới lẫn Tân Thế giới, chủ yếu trong khu vực nhiệt đới và cận nhiệt đới, nhưng có một số loài sinh sống trong khu vực ôn đới. Họ này có khoảng 650 loài trong 110-113 chi.Mô tảChủ yếu là cây thân gỗ (đứng hay leo). Lá kép lông chim nhiều lần hay kép chân vịt, mọc đối, gốc cuống phình to.Hoa to, cánh hoa dính thành ống, đỉnh không đều có 2 môi. 4 nhị (trong đó 2 dài, 2 ngắn). Bầu 2 ô, nhiều noãn.Quả thường là quả nang hình đa giác dài thõng xuống từng chùm hay bản dài. Hạt nhiều, dẹt, xếp xít nhau có cánh rộng mở ở xung quanh. Phôi thẳng, thường không có nội nhũ.Phân loạiDựa trên cấu trúc của bầu cũng như đặc tính của quả và hạt người ta chia họ này làm 5 tông. Họ này gần với họ Scrophulariaceae.Thế giới có 120 chi và 800 loài, phân bố chủ yếu ở các nước Nhiệt đới, nhất là Nam Mỹ, ít có ở châu Phi và châu Á.Việt Nam có khoảng 17-18 chi và chừng 40 loài.Các chiAdenocalymna
Amphilophium
Amphitecna
Anemopaegma
Argylia
Arrabidaea
Astianthus
Barnettia
Bignonia
Callichlamys
Campsidium
Campsis - Đăng tiêu
Catalpa - Đinh tán, tử
Catophractes
Ceratophytum
Chilopsis
Clytostoma
Colea
Crescentia - Đào tiên
Cuspidaria
Cybistax
Delostoma
Deplanchea
Digomphia
Dinklageodoxa
Distictella
Distictis
Dolichandra
Dolichandrone
Eccremocarpus
Ekmanianthe
Fernandoa
Fridericia
Gardnerodoxa
Glaziova
Godmania
Haplolophium
Haplophragma
Heterophragma
Hieris
Incarvillea
Jacaranda - Phượng tím, bằng lăng nước
Kigelia
Lamiodendron
Leucocalantha
Lundia
Macfadyena
Macranthisiphon
Manaosella
Mansoa
Markhamia - Thiết đinh, đinh
Martinella
Melloa
 Memora
Millingtonia
Mussatia
Neojobertia
Neosepicaea
Newbouldia
Nyctcalos
Ophiocolea
Oroxylum - Núc nác
Pajanelia
Pandorea
Parabiognonia
Paragonia
Paratecoma
Parmentiera
Pauldopia
Perianthomega
Periarrabidaea
Perichlaena
Phryganocydia
Phyllarthron
Phylloctenium
Piriadacus
Pithecoctenium
Pleionotoma
Podranea
Potamoganos
Pseudocatalpa
Pyrostegia - Chùm ớt
Radermachera - Rà đẹt
Rhigozum
Rhodocolea
Roentgenia
Romeroa
Saritaea
Sparattosperma
Spathicalyx
Spathodea - Sò đo cam
Sphingiphila
Spirotecoma
Stereospermum - Quao
Stizophyllum
Tabebuia - Chuông vàng
Tanaecium
Tecoma - Hùng liên
Tecomanthe
Tecomella
Tourrettia
Tynanthus
Urbanolophium
Xylophragma
ZeyheriaSử dụngNhiều cây cho gỗ quý: Đinh (Marchamia stipularis), nhiều cây cảnh: Spathodea, Kigelia, Compsis, Paudorea.    * Đinh tán (chi Catalpa)
    * Lăng tiêu (chi Campsis)
    * Đào tiên (chi Crescentia)
    * Cây xúc xích (chi Kigelia)
    * Thiết đinh (chi Markhamia)
    * Núc nác (chi Oroxylon)
    * Chùm ớt (chi Pyrostegia)",44
43,Bixaceae,"Điều nhuộm (Xiêm phụng, Chầm phù)","Bixaceae Link 1831Cây gỗ nhỏ, lá đơn nguyên, mọc cách, có lá kèm. Đặc trưng bởi cây có dịch màu đỏBao hoa mẫu 5 (K5C5), xếp lợp. Nhị nhiều với bao phấn hình móng ngựa mở bằng khe ngắn ở đỉnh. Bộ nhụy gồm 2 lá noãn hợp bên (paracarp), noãn nhiều, có cuống.Quả nang chẻ ô (loculicide), có râu cứng bao phủ khắp bề mặt và mở bằng 2 van.Họ đơn loài, mọc hoang ở nhiệt đới châu Mỹ.Việt Nam nhập trồng làm cảnh, làm thuốc, thuốc nhuộm",89
44,Blechnaceae,Ráng lá dừa,"Blechnaceae (C. Presl.) Copel. 1947Thế giới có 9 chi, 240-260 loàiViệt Nam có 4 chi, 9 loài",69
45,Bombacaceae,"Gạo (Mộc liên, Gòn ta)","Bombacaceae Kunth 1882Cây gỗ thường có gai ở gốc. Lá kép chân vịt, mọc cách.Hoa to, màu đỏ, mọc trên cành, đều, lưỡng tính, mẫu 5. Cánh hoa đài có mầu sắc rực rỡ. Nhị xếp thành nhiều bó, bao phấn 1 ô mở dọc, hạt phấn trơn.Quả nang, vỏ quả trong có lông mềm trắng như bông.Thế giới có 28 chi, 200 loài, phân bố ở Nhiệt đới đặc biệt châu MỹViệt Nam có 6 chi, 10 loàiPhân loại: Gần với MalvaceaeGiá trị kinh tế: Lấy sợi, ăn quả (Durio zibethinus). ",50
46,Bonnetiaceae,Chúng nôm,"Bonnetiaceae Beauv. 1920Cây gỗ hoặc bụi, lá đơn mọc cách tập trung ở đỉnh cành, không có lá kèm.Hoa lưỡng tính, đều, có cuống hoa dài 2-3 cm, mang 2 (4) lá bắc gần như đối diện nhau ở gần đài. Cánh hoa 5 rời, xếp vặn. Nhị nhiều họp thành 5 bó. Bộ nhụy gồm 5 lá noãn hợp thành bầu thượng, vòi đơn, phân 5 nhánh ở đỉnh. Noãn nhiều.Quả nang cắt vách (septicide) mở từ phía gốc với cột trung tâm (mang hạt) còn tồn tại sau khi các mảnh rời đi. Cành mang hoa có thể nhầm lẫn với Hồi (Illicium) nhưng khác là các phiến bao hoa xếp xoắn, nhị nhiều, rời nhau, lá noãn rời và xếp vòng.Thế giới có 3 chi, 20 loài, phân bố chủ yếu ở Nam Mỹ và châu Á.Việt Nam có 1 chi 1 loài: Archytaea wahlii",86
47,Boraginaceae,"Vòi voi, Mồ hôi","Boraginaceae - Họ Vòi voiHọ Mồ hôi, trong các tài liệu về thực vật học tại Việt Nam gọi là họ Vòi voi (lấy theo chi Heliotropium) (danh pháp khoa học: Boraginaceae  Juss. 1789), là họ của các loài cây như mồ hôi, lưu ly, vòi voi, bao gồm các dạng cây bụi, cây thân gỗ và cây thân thảo. Khi hiểu theo nghĩa rộng, họ này có tổng cộng khoảng gần 2.740 loài trong 148 - 149 chi phân bố rộng khắp thế giới.
Họ Boraginaceae theo như APG II, thuộc về nhóm Hoa cúc thật sự I (euasterid I), bao gồm trong đó các bộ như Gentianales, Lamiales, Solanales, nhưng việc gán nó cho một trong các bộ này hay vào chính bộ của riêng nó (Boraginales) vẫn chưa rõ ràng. Theo hệ thống Cronquist nó được đặt trong bộ Hoa môi (Lamiales), nhưng hiện nay một điều rõ ràng là sự tương tự của nó với các họ khác trong bộ này không nhiều hơn sự tương tự của nó với các họ khác trong một số các bộ khác của nhánh Hoa cúc (asterids). Họ Boraginaceae là cận ngành với họ Hydrophyllaceae và họ này đã được gộp vào trong họ Mồ hôi theo như phân loại trong hệ thống APG II. Trong một số hệ thống phân loại gần đây họ Boraginaceae được chia ra thành một số họ, bao gồm Boraginaceae nghĩa hẹp (sensu stricto), Cordiaceae, Ehretiaceae, Heliotropiaceae, Hydrophyllaceae, Lennoaceae.Phần lớn (với một ít ngoại lệ) các thành viên trong họ này lá với lông tơ. Đặc trưng thô của các lông tơ là do sự tồn tại của điôxít silic và cacbonat canxi trong lá. Ở một số loài, các anthocyanin làm cho hoa đổi màu từ đỏ sang xanh lam khi già. Đây có lẽ là tín hiệu cho những loài côn trùng thụ phấn bioết rằng các hoa già đã cạn kiệt phấn hoa và mật hoa (Hess, 2005).Nói chung, họ này hay được chia ra thành các phân họ như Boraginoideae (112 -113 chi, 1.600 loài), Cordioideae (3 chi, 330 loài), Ehretioideae (8 chi, 170 loài), Heliotropioideae (5 chi, 405 loài), Hydrophylloideae (17 chi, 225 loài), Lennooideae (3 chi, 7 loài).Cây phủ lông ráp. Lá đơn nguyên mọc cách, không có lá kèm.Đặc trưng bởi kiều cụm hoa xim bọ cạp. Hoa nhỏ thường tập trung về một phía của trục nên những cành phân nhánh 2 ít nhiều xoắn lại như đuôi mèo. Hoa đều, lưỡng tính, mẫu 5. Bộ nhuỵ thường gồm 2 lá noãn hợp thành bầu thượng 2 ô nhưng khi chín tách thành 4 ngăn. Vòi thường đính ở gốc bầu.Quả hạch chứa 1-4 tiểu hạch hoặc quả tách thành 4  hay 2 tiểu quả dạng hạch khô. Hạt thường không có nội nhũ.Thế giới có 100 chi và 2000 loài, phân bố ở khắp thế giới.Việt Nam có 15 chi và khoảng 35 loài.Phân loại: Họ này chia làm 2 phân họ: Heliotropioideae vòi tận cùng, quả hạch. Heliotropium, Tournefortia và Boraginoideae vòi ở bầu, quả 2 hay 4 quả con với 5 tông: Cynoglosseae, Eritrichieae, Boragineae, Lithospermeae và Echieae.Giá trị kinh tế: Nhiều loài trồng làm cảnh: Heliotropium, một số loài làm thuốc.",83
48,Brassicaceae,Cải (Thập tự),"Brassicaceae Burn, 1835Cây thảo, lá đơn, mọc cách, không lá kèm.
Cụm hoa chùm. Hoa đều thường lưỡng tính mẫu 4, 4 cánh hoa xếp chéo hình chữ thập; nhị 4 (vòng trong - median) to 2 nhỏ (vòng ngoài lateral).
Quả dạng quả cải (giác quả) Thế giới có 380 / 3000, phân bố ở Toàn cầu hầu hết ôn đới Trung Âu, Địa Trung Hải, ít ở Bắc Mỹ.Việt Nam có 6 chi, 20 loài.Phân loại: Các tông: Thelypodieae, Pringleeae, Sjcymbrieae, Hesprideae, Arabideae, Alysseae, Lepilieae, Brassiceae, Chamireae, Schizopetaleae, Heliophileae, Cremolobeae, nó gần với Capparaceae.Giá trị kinh tế: Làm rau, lấy dầu, làm cảnh (Brassica spp.)",10
49,Bretschneideraceae,Chuông đài (Rết nây),"Bretschneideraceae Engl. & Gilg 1924Cây gỗ rụng lá, lá kép lông chim lẻ không có lá kèm.Hoa lớn, lưỡng tính, cụm hoa mọc thành chùm. Đài hình chuông có 5 thùy, cánh hoa 5 đính trên mép ống đài vf đặc biệt chỉ có 8 nhị xếp thành 2 vòngHọ đơn loài, phân bố ở Tây Nam Trung Hoa và Bắc Việt NamLoài Chuông đài - Bretschneidera sinensis",79
50,Bromeliaceae,Dứa (Thơm),"Bromeliaceae Juss. 1789Cỏ nhiều năm, lá thường có gai, gốc lá rộng ôm lấy nhau.Hoa thành cụm hoa hình đầu, lưỡng tính, mẫu 3 (K3C3A3+3G3)Quả mọngThế giới có 50 chi, 200 loài, phân bố ở nhiệt đới, ít khi ở ôn đớiViệt Nam có 2 chi Annanas và Billbergia, 2 loài, thường đều là cây trồng",8
51,Buddlejaceae,"Búp lệ, Bọ chó","Buddlejaceae - Họ Bọ chóNhiều khi họ này được để trong họ Hoa mõn chó - ScrophulariaceaeĐặc trưng bởi cây gỗ hay cây bụi với lá đơn, mọc đối (hay mọc vòng).Hoa thường mẫu 4 (K4C4A4). Thuỳ tràng xếp lợp. Lá noãn 2, hợp thành bầu thượng 2 ô. Noãn nhiều, đính trên giá noãn trụ giữa.Quả nang, hạt thường có cánh. Khá gần với Loganiaceae, nhưng ở đây có lông hình sao hay hình vẩy, không có li be trong gỗ.Thế giới có 10 chi và 170 loài, phân bố chủ yếu ở vùng Nhiệt đới và Cận nhiệt đới, nhiều ở Nam Phi.Việt Nam có 1 chi, 3-5 loài.",44
52,Burmanniaceae,Cào cào,"Burmanniaceae - Họ Cào càoHọ Cỏ cào cào hay họ Thủy ngọc trâm (danh pháp khoa học: Burmanniaceae) là một họ trong thực vật có hoa, chứa khoảng 95-100 loài (chi Burmannia khoảng 63 loài) cây thân thảo nhỏ trong khoảng 9 chi. Thông thường chúng rất dễ nhận ra do phần lớn các loài thường có màu đỏ nhiều hơn là màu xanh lục và không có nhiều lá. Họ này phân bổ khắp vùng nhiệt đới, chủ yếu ở châu Mỹ.Nhóm thân cây của họ Burmanniaceae có lẽ đã xuất hiện khoảng 116 triệu năm trước (Ma), còn nhóm chỏm cây thì khoảng 93 MaCác loài trong họ Burmanniaceae chủ yếu là cây thân thảo nhỏ không có diệp lục. Chúng hoặc là tự dưỡng hoặc là dị dưỡng (hoại sinh). Các hoa lưỡng tính (hoặc đơn tính cùng gốc) đối xứng tâm có màu xanh lam, bầu nhụy hạ có cánh. Các lá đài ngoài lớn hơn các lá đài trong và chỉ có 3 nhị, mọc đối diện với các lá đài trong. Quả nang nứt ra khi chín, chứa 15-100 hạt.Mô tảCây thảo tự sinh hay hoại sinh. Lá nhỏ mọc ở gốc.Cụm hoa thường có 3 nhánh choãi ra 3 hướng ở đỉnh. Hoa mẫu 3, có 6 mảnh bao hoa nhỏ nằm ở đỉnh của bầu dưới, có 3 ô đính noãn góc bên. Bao phấn nội hướng. Vòi có 3 đầu nhụy.Quả mở theo 3 đường dọc.Giải phẫu hình tháiTrụ giữa của rễ là 2- tới 5 vòng và có thể không có lõi xốp, và mặc dù rễ của các loài trong họ thường được miêu tả như là thiếu các lông rễ, do nó hợp với mối quan hệ gần gũi của chúng với nấm, nhưng trên thực tế ở chi Burmannia thì có lông rễ. Ở các nhóm không chứa diệp lục thì các mao mạch chỉ có ở rễ, nhưng ở các nhóm khác thì có các mao mạch trong lá.Phân loạiHệ thống APG II năm 2003 đặt họ này trong bộ Củ nâu (Dioscoreales) của nhánh monocots. Định nghĩa của họ này trong APG II là rộng hơn so với trong hệ thống APG năm 1998, do bao gồm cả các loài của họ Thismiaceae trong APG.Theo sự phân loại mới nhất thì họ này được chia làm 3 tông: Burmannieae có hoa 3 nhị. Thismieae có hoa không đều, 6 nhị. Corsieae có hoa đều 6 nhị. Một số đã nâng 3 tông này lên thành 3 họ, chúng có họ hàng với Orchidaceae.Giá trị kinh tếLàm thuốc.Các chiThế giới có 22 chi và 130 loài, phân bố chủ yếu ở các nước Nhiệt đới.    * Apteria
    * Burmannia: Cỏ cào cào, thủy ngọc trâm
    * Campylosiphon
    * Cymbocarpa
    * Dictyostega
    * Gymnosiphon: Hủ thảo
    * Hexapterella
    * Marthella
    * MiersiellaỞ Việt Nam có 2 chi và khoảng 10 loài.",21
53,Burseraceae,Trám,"Họ Râm hay họ Trám còn có tên đồng nghĩa là Balsameaceae, Neomangenotioideae, là một họ của 17-18 chi với khoảng 540-550 loài thực vật có hoa. Họ này chứa các loài cây gỗ hay cây bụi, bản địa của khu vực nhiệt đới châu Phi, châu Á và châu Mỹ.Một vài loài trong họ này sản sinh ra nhựa có hương thơm, được sử dụng để làm hương hay nước hoa, đáng chú ý nhất là nhũ hương (Boswellia spp.) và một dược (Commiphora myrrha, đồng nghĩa: Commiphora momol). Nó cũng bao gồm các loài cây ăn quả, như Dacryodes edulis.Sự phân chia của hai chi Bursera và Commiphora được một số tác giả coi là có từ khoảng 120 triệu năm trước (Ma), với sự đa dạng hóa trong chi đầu tiên đã bắt đầu vào khoảng 70 Ma (Becarra 2005); nhưng dường như các con số này là quá cao. Weeks và Simpson (2007) cho rằng sự phân nhánh của chi Commiphora từ nhánh mà hiện nay đại diện của nó là B. tonkinensis (râm) diễn ra vào khoảng 53-41,6 Ma (thế Eocen), mặc dù Commiphora tự nó đã không đa dạng hóa cho tới tận 32,3-23,2 Ma. Sự khô cằn hóa trong thế Neogen ở châu Phi diễn ra cũng xấp xỉ vào khoảng thời gian này (Weeks và ctv. 2005, Weeks & Simpson 2007).Hiện tại, theo ước tính của APG thì các chi có nhiều loài nhất là: Commiphora (~ 190 loài, trong đó tới 150 loài chỉ có ở châu Phi), Protium (~85 loài), Canarium (~75 loài), Bursera (~ 50 loài). Chi Beiselia với 1 loài duy nhất (B. mexicana ở Mexico) có quan hệ họ hàng chị-em (nghĩa là rẽ nhánh sớm nhất ra khỏi phần còn lại) với toàn bộ nhóm còn lại của họ này trong một số nghiên cứu ở mức phân tử.Các chi    * Aucoumea
    * Beiselia
    * Boswellia: Hương trầm hay nhũ hương
    * Bursera (bao gồm cả Elaphrium): Râm
    * Canarium (bao gồm cả Canariellum): Trám
    * Commiphora (bao gồm cả Balsamodendrum, Hemprichia, Neomangenotia): Một dược
    * Crepidospermum (bao gồm cả Hemicrepidospermum)
    * Dacryodes (bao gồm cả Hemisantiria, Pachylobus)
    * Garuga: Cóc đá
    * Haplolobus
    * Paraprotium
    * Protium (bao gồm cả Icica): Cọ phèn
    * Santiria (bao gồm cả Icicaster, Santiriopsis, Trigonochlamys)
    * Scutinanthe
    * Tapirocarpus
    * Tetragastris (bao gồm cả Hedwigia)
    * Trattinnickia
    * Triomma",79
54,Buxaceae,Hoàng Dương (Cà ma),"Buxaceae Dumort. 1822Cây nhỡ. Lá dày và cứng đôi khi có hệ gân lông chim dày và mảnh, mọc đối hay mọc cách, không lá kèm.Hoa đơn tính, cùng gốc, không cánh hoa, bầu trên thường 3 ô, ở đỉnh có 3 vòi dạng sừng nằm gần mép.Quả nang hay hạch có 3 sừng ở mép quả 9.Thế giới có 5 chi, 60 loài, phân bố ở Nhiệt đới, ôn đới.Việt Nam có 2 chi, 8 loàiPhân loại: Hai chi ở châu Mỹ, đôi khi tách thành 2 họ riêng, các chi khác Sarcococca ở Đông Nam Á, có lá mọc cách và Buxus ở ôn đới Bắc bán cầu, phổ biến ở Việt Nam, Nam Phi và châu Phi nhiệt đới, Tây Ấn có lá mọc đối. Họ có quan hệ với Euphorbiaceae và Celastraceae.Giá trị kinh tế: Cho gỗ và làm cảnh (Sarcococca). ",9
55,Cabombaceae,Tiềm liên,"Cabombaceae A. Rich. 1828Cỏ thủy sinh, có thân rễ. Mang 2 loại lá: lá chìm có nhiều thủy, lá nổi hình khiên.Hoa mẫu ba (K3C3A3-6G3). Lá đài dạng cánh hoa. Lá noãn rời và xếp vòng.Thế giới có 2 chi và 5 loài, phân bố ở các vùng nhiệt đới và cận nhiệt đới.Ở Việt Nam đại diện duy nhất là loài Cabomba carolina, loài nguyên sản ở châu Mỹ, được nhập trồng trong các bể nuôi cá cảnh ",57
56,Cactaceae,"Xương rồng (Thanh Long, Long cốt)","Cactaceae Juss. 1789Cây mọng nước không có mủ trắng, trồng làm cảnh với thân cành màu lục, dẹt hay có khía, mang lông hay gai không có lá hoặc lá dạng vảy.Hoa to, đơn độc, lưỡng tính, có màu sắc sặc sỡ, hoa đều nếu mọc đứng, không đều nếu mọc nghiêng. Bao hoa nhiều có dạng chuyển tiếp từ lá hoa đến cánh tràng. Nhị nhiều.Quả thịt dạng quả dứa có một ô nhiều hạtThế giới có 200 chi, 2000 loài, phân bố ở Vùng bán sa mạc, Bắc, Trung, Nam MỹViệt Nam có nhập một số loài trồng làm cảnhPhân loại: Ba phân họ: Pereskioideae, Opuntioideae và CactoideaeGiá trị kinh tế: Làm cảnh, ăn quả, làm rau ăn và làm mỹ phẩm (Hydrocereus undatus)",11
57,Caesalpiniaceae,Vang,"Caesalpiniaceae R.Br. 1814Cây thảo. Lá kép lông chim chẵn, mọc cách có lá kèm sớm rụng hay dạng 1 phiến to do 2 lá chét dính lại như lá móng bò.Cụm hoa chùm hay chuỳ. Hoa mẫu 5, cánh hoa thìa (cánh trên lớn 2 mép bị chườm bởi 2 cánh bên); nhị 10 xếp làm 2 vòng; bầu trên, 1ô.Quả đậuThế giới có 150 chi, 2800 loài, phân bố ở nhiệt đới và cận nhiệt đớiViệt Nam có trên dưới 20 chi, gần 120 loàiPhân loại: Chia 7 - 9 tông trên cơ sở lá, hoa đều hay đối xứng hai bên, mức độ dính của đài, cách mở bao phấn.Giá trị kinh tế: lấy gỗ như Lim; làm cảnh như Phượng, làm thuốc như Tô mộc, Thảo quyết minh... ",28
58,Callitrichaceae,Diễm mao,"Callitrichaceae - Họ Diễm mao:Cây cỏ thủy sinh.Đặc trưng bởi hoa đơn tính, đều, không có bao hoa. Hoa đực chỉ có 1 nhị nằm trong 2 tiểu bắc hình sừng. Hoa cái có 2 bộ nhụy gồm 2 lá noãn hợp syncarp (hợp nguyên lá noãn) thành bầu thượng 2 ô (đôi khi do có vách giả mà thành 4 ô). Vòi đính ở đỉnh bầu (giống Verbenaceae).Quả khi chín tách thành 2 hoặc 4 tiểu quả (như ở Lamiaceae). Hạt có nội nhũ nạc.Thế giới có 1 chi và 25 loài, phân bố ở khắp thế giới.Ở Việt Nam có 1 loài. ",44
59,Calycanthaceae,Lạp mai,"Calycanthaceae Lindl. 1819Thân bụi hoặc gỗ nhỏ, Lá đơn mọc đối không có lá kèmĐặc trưng bởi có ống hoa hình chén, bao ho gồm nhiều phiến xếp lợp lên nhau, nhị nhiều, xếp thành hai hàng ở trên miệng ống hoa nhưng chỉ những chiếc vòng trong hữu thụ, bao phấn mở dọcTrên thế giới có 2 chi, 5 loài, phân bố ở Trung Hoa và Bắc MỹViệt Nam có 1 chi 1 loài là Chimonanthus pracecox",45
60,Campanulaceae,"Hoa chuông, Cát kiến","Campanulaceae - Họ Hoa chuông:Thường là cây thảo, có nhựa mủ trắng, đôi khi dạng leo. Lá đơn nguyên, mọc đối, có khi mọc cách, không có lá kèm.Cụm hoa luôn luôn có hoa ở đỉnh. Hoa thường đều, lưỡng tính, mẫu 5 (K5C5A5). Cánh hoa dính thành hình chuông. Tràng hình chuông với các thùy xếp van. Nhị rời loe ở dưới, xen kẽ với các thùy tràng, đính ở gốc tràng hay đính trên triền. Bao phấn dính nhau thành ống nhưng khi hoa nở thì rời nhau. Lá noãn 5-2, hợp thành bầu hạ (ít khi bầu trung) 2-10 ô. Noãn nhiều, đính noãn trụ giữa.Quả nang, đôi khi dạng quả mọng, còn các thùy đài tồn tại. Hạt có nội nhũ nạc.Thế giới có 40 chi và 800 loài, phân bố chủ yếu ở vùng Ôn đới, nhất là miền núi châu Âu, ít có ở vùng hàn đới.Ở Việt Nam có 6 chi và trên 10 loài.Phân loại: Trên cơ sở hình thái bầu và quả, họ này được chia làm 3 phân tông nhưng nó không đại diện cho các con đường tiến hóa. Campanulinae: Bầu dưới và quả nang mở bên (Campanula, Adenophora). Wahlenberginae: Bầu dưới hay trung đến bầu trên, quả nang mở ở đỉnh (Wahlenbergia, Campanumoea, Codonopsis...). Platycodimae: bầu dưới đến bầu trung, quả nang mở. Các họ Cyphiaceae, Lobeliaceae, Pentaphragmataceae và Sphenocleaceae thường được coi thuộc về họ Campanulaceae, nay chúng được tách thành các họ riêng biệt. Rất có thể họ Campanulaceae là gốc và từ đó cho ra họ Cúc.Giá trị kinh tế: Nhiều loài dùng làm cảnh và làm thuốc (Codonopsis javanica, Platicodon grandiflorum). ",7
61,Cannabaceae,Cần xa (Gai mèo),"Cannabaceae Endl. 1837Cây leo thảo, thân ráp. Lá chia thuỳ chân vịt, mọc cách (mọc đối với loài cây trồng), có lá kèm.Cụm hoa xim, Hoa đơn tính khác gốc.Quả bế.Thế giới có 2 - 3 / 4, phân bố ở Bắc bán cầu, chủ yếu vùng ôn đới.Ở Việt Nam có 1 - 3 chi, 3 loàiPhân loại: Họ này được một số tác giả đặt trong MoraceaeGiá trị kinh tế: Làm thuốc , lấy sợi, hạt ăn, có một thứ gọi là “Cần xa” (Cannabis sativa). ",88
62,Cannaceae,"Dong riềng (Chuối hoa, Ngải hoa)","Cannaceae Juss. 1789Cây bụi. Thân ngầm. Lá lớn dạng lá dong riềng, cuống không có đốt.Cụm hoa ở đỉnh, có màu sắc sặc sỡ. Hoa có nhiều cánh không giống nhau với 1 cánh to nhất do nhị biến thành (vết tích còn 1 bao phấn dính ở cánh). Bầu dưới với vòi nhụy hình cành. Quả nang có gai nhọnThế giới có 1 chi,  30 - 55 loài, phân bố chủ yếu ở nhiệt đới và cận nhiệt đớiViệt Nam có 1 chi, 4 loài, đều là cây trồngPhân bố ở Vùng nhiệt đới, á nhiệt đới ở Trung Mỹ và Tây Ấn.Phân loại: Họ này cùng với Musaceae, Zingiberaveae... tạo thành một họ độc lập cùng một số đặc điểm chung: Hoa không đều, nhị tiêu giảm, bầu dưới và hạt có nội nhũ nhưng khác với Zingiberaceae là không có lưỡi.Giá trị kinh tế: Nhiều loài làm cảnh và có giá trị kinh tế lớn.",92
