idBo,Ten_KH,Ten_TV,Mo_ta
22,Dipsacales,Tục đoạn,"Bộ Tục đoạn (danh pháp khoa học: Dipsacales) là một bộ trong thực vật có hoa, nằm trong phạm vi nhánh Cúc thật sự II (euasterid II) của nhóm Cúc (asterid) trong thực vật hai lá mầm.Trong hệ thống Cronquist, bộ này bao gồm các họ Adoxaceae, Caprifoliaceae, Dipsacaceae và Valerianaceae. Trong hệ thống phân loại gần đây của Angiosperm Phylogeny Group (hệ thống APG II), định nghĩa của bộ này là gần như tương tự nhưng định nghĩa của các họ lại khác hẳn. APG bao gồm họ Adoxaceae và họ Caprifoliaceae được mở rộng (nhưng vẫn cho phép tùy chọn tách ra), họ thứ hai này khi hiểu theo nghĩa rộng bao gồm cả các họ mà khi hiểu theo nghĩa hẹp của họ này là được chấp nhận như là các họ riêng rẽ. Chúng bao gồm Diervillaceae, Dipsacaceae, Linnaeaceae, Morinaceae và Valerianaceae.Theo định nghĩa của APG II, một số thành viên được biết đến nhiều nhất của bộ này là kim ngân, cơm cháy, giáng cua và nữ lang.Một số các họ khác cũng có thể thuộc về hay có quan hệ rất gần gũi với bộ này là Desfontainiaceae, Polyosmotaceae, Paracryphiaceae và Sphenostemonaceae.Như vậy, tùy theo cách phân loại, bộ này chứa 2 (hay 4/7) họ, phân bổ trong 45 chi với khoảng 1.090 loài.Phát sinh loàiSự phân chia đầu tiên trong nhóm chỏm cây của bộ Tục đoạn có thể đã diễn ra vào giữa kỷ Phấn Trắng, khoảng 111-93 triệu năm trước (Ma), cỡ 20-30 Ma cổ hơn so với một vài ước tính (Bell & Donoghue 2005 và tham chiếu). Tuy nhiên, sự đa dạng chính trong các họ Tục đoạn (Dipsacaceae) và họ Nữ lang (Valerianaceae) - và vì thế phần chính trong đa dạng hoá của toàn bộ bộ này - là tương đối gần đây, diễn ra chỉ khoảng 10 Ma gần đây (Bell & Donoghue, 2005)."
23,Ebenales,Thị,"Bộ Thị, danh pháp khoa học: Ebenales  là một tên gọi của một bộ thực vật có hoa. Tên gọi này được sử dụng trong một vài hệ thống phân loại thực vật, chẳng hạn hệ thống Bentham & Hooker hay hệ thống Engler, mặc dù hệ thống Wettstein lại thích dùng tên gọi Diospyrales hơn. Trong phiên bản năm 1981 của hệ thống Cronquist nó là một bộ được đặt trong phân lớp Dilleniidae với giới hạn định nghĩa như sau:    * Bộ Ebenales          Họ Ebenaceae
          Họ Sapotaceae
          Họ Styracaceae
          Họ SymplocaceaeTrong hệ thống APG II tất cả các họ này đều được đưa vào trong bộ được mở rộng là bộ Ericales."
24,Ephedrales,Ma hoàng,"Chỉ có 1 chi -  Ephedra với 42 loài.Phổ biến ở thảo nguyên Địa trung hải - và Trung ấn. Thường là những cây bụi chịu hạn, cao 5 - 8 m, phân cành, thân chia thành lóng và mấu, lá tiêu giảm thành vảy. Cây đơn tính khác gốc. Nhị cũng như noãn thường tập hợp thành “cụm hoa”. Trong đó “cụm hoa đực” manh nhiều “hoa đực” có cấu tạo đơn giản. Trên cụm hoa có một lá bắc và một lá dinh dưỡng khác làm nhiệm vụ bao hoa, có một nhị với hai bao phấn lớn, “hoa” tiêu giảm nhiều.- “Hoa cái” (bông lá bào tử lớn) thường cấu tạo phức tạp hơn mọc thành từng cụm 2 hay 3 “hoa”, tạo thành nón, trong đó có vảy. Mỗi “hoa cái” gồm một noãn được bao bọc bởi một lớp bao hoa đặc biệt nạc và dày. Vỏ noãn kéo dài thành ống lỗ noãn dài. Sau khi thụ tinh noãn phát triển thành hạt. Vỏ noãn phát triển mọng nước, có màu sáng, phát tán nhờ động vật. Có chứa alcaloit là Ephedrin có tác dụng trợ tim và thần kinh.Vì có cấu tạo đặc biệt như vậy mà Wetstein đã đưa ra giả thiết Ma hoàng hay giả thuyết hoa giả về nguồn gốc của thực vật có hoa."
25,Equisetales,Cỏ tháp bút,"Bộ Equisetales tồn tại song song cùng bộ Sphenophyllales, nhưng đã đa dạng hóa khi nhóm kia biến mất do tuyệt chủng, nhưng với sự đa dạng dần dần bị co hẹp lại để ngày nay chỉ còn lại chi Equisetum."
26,Ericales,Đỗ quyên,"Bộ Thạch nam hay bộ Đỗ quyên (danh pháp khoa học: Ericales) là một bộ thực vật hai lá mầm lớn và đa dạng. Trong một số sách giáo khoa về thực vật học gọi là họ đỗ quyên là lấy theo tên của chi đỗ quyên (Rhododendron) thuộc họ Ericaceae, nhưng tại Wikipedia lấy theo tên chi thạch nam (Erica) cũng thuộc họ Ericaceae. Bộ này chứa nhiều loại cây từ cây thân gỗ, cây bụi, dây leo và cây thân thảo. Cùng với các loài thực vật tự dưỡng thì bộ Ericales còn có cả các loài thực vật thiếu diệp lục sống cộng sinh cùng nấm (ví dụ Sarcodes sanguinea) và thực vật ăn thịt (ví dụ chi Sarracenia).Nhiều loài có 5 cánh hoa, thường mọc cùng nhau.Nấm rễ là một tính chất đặc biệt, thường gắn liền với bộ Ericales. Thực vậy, sự cộng sinh với nấm ở rễ là rất phổ biến trong các đại diện của bộ này, và thậm chí người ta còn tìm thấy có 3 loại nấm chỉ có thể thấy ở bộ Ericales (gọi là ericoid, arbutoid và monotropoid mycorrhiza). Ngoài ra, vài họ trong bộ này còn đáng chú ý vì khả năng tích lũy nhôm rất cao của chúng (Jansen và những người khác, 2004).Ericales là một bộ phổ biến rộng khắp. Các khu vực phân bổ của các họ dao động rất lớn - trong khi một số họ chỉ sinh trưởng ở vùng nhiệt đới thì một số họ khác lại tồn tại chủ yếu ở vùng cận bắc cực hay khu vực ôn đới. Toàn bộ bộ này chứa trên 8.000 loài, trong đó riêng họ Thạch nam (Ericaceae) chiếm từ 2.000-4.000 loài (theo các nguồn ước tính khác nhau).
[sửa] Kinh tếCó lẽ loài cây quan trọng nhất trong bộ này là cây chè (Camellia sinensis) từ họ Chè (Theaceae). Bộ này cũng chứa một số loại cây cho quả ăn được, chẳng hạn cây kivi (Actinidia deliciosa), hồng (chi Diospyros) và một số loài cây ăn quả nhiệt đới khác. Nhiều loài trong bộ này cũng được trồng làm cây cảnh vì có hoa sặc sỡ.
[sửa] Phân loại
Quan hệ phát sinh loài trong bộ Thạch namCác họ sau là điển hình trong các phân loại mới nhất:    * Họ Actinidiaceae (họ kivi, đằng lê)
    * Họ Balsaminaceae (họ bóng nước)
    * Họ Clethraceae
    * Họ Cyrillaceae
    * Họ Diapensiaceae
    * Họ Ebenaceae (họ hồng)
    * Họ Ericaceae (họ thạch nam, đỗ quyên)
    * Họ Fouquieriaceae
    * Họ Lecythidaceae
    * Họ Maesaceae (đơn nem)
    * Họ Marcgraviaceae
    * Họ Mitrastemonaceae
    * Họ Myrsinaceae (họ xay)
    * Họ Pellicieraceae ? (thường gộp trong họ Tetrameristaceae)
    * Họ Pentaphylacaceae
    * Họ Polemoniaceae (họ lá thang, thiên nam tú cầu hay hoa móng rồng)
    * Họ Primulaceae (họ anh thảo)
    * Họ Roridulaceae
    * Họ Sapotaceae (họ hồng xiêm)
    * Họ Sarraceniaceae (họ nắp ấm)
    * Họ Sladeniaceae
    * Họ Styracaceae (họ bồ đề)
    * Họ Symplocaceae (họ dung)
    * Họ Ternstroemiaceae? (thường được gộp trong họ Chè (Theaceae))
    * Họ Tetrameristaceae
    * Họ Theaceae (họ chè)
    * Họ TheophrastaceaeCác họ này tạo thành một nhóm cơ sở của nhóm Cúc (asterid). Trong hệ thống Cronquist cũ thì bộ Ericales là một nhóm nhỏ hơn, được đưa vào trong phân lớp Dileniidae. Nó bao gồm các họ sau:    * Họ Ericaceae
    * Họ Cyrillaceae
    * Họ Clethraceae
    * Họ Grubbiaceae
    * Họ Empetraceae
    * Họ Epacridaceae
    * Họ Pyrolaceae
    * Họ Monotropaceae"
27,Eubryales,Rêu thân thẳng,"Bộ Eubryales Có thân thẳng, túi bào tử ở ngọn thường nghiêng. Lông răng có hai hàng.Gồm 16 họ, 54 chi và 1.769 loài. "
28,Fabales,Đậu,"Bộ Đậu (danh pháp khoa học: Fabales) là một bộ thực vật có hoa. Nó nằm trong nhóm hoa hồng (rosids) của thực vật hai lá mầm thật sự (eudicots) trong hệ thống phân loại của APG II. Trong hệ thống này thì bộ Đậu bao gồm các họ như Fabaceae (bao gồm các phân họ như Caesalpinioideae, Cercideae, Faboideae, Mimosoideae), Quillajaceae, Polygalaceae (bao gồm các phân họ Carpolobieae, Moutabeae, Polygaleae và Xanthophylleae), và Surianaceae. Trong hệ thống Cronquist năm 1981 và một số hệ thống phân loại thực vật khác, bộ Đậu chỉ chứa mỗi họ Đậu (Fabaceae) còn các họ khác mà APG II xếp vào bộ này lại được đặt trong các bộ khác nhau, chẳng hạn Cronquist đã xếp họ Viễn chí (Polygalaceae) vào trong bộ của chính nó-gọi là bộ Viễn chí (Polygalales), còn hai họ Quillajaceae và Surianaceae nằm trong bộ Hoa hồng (Rosales).Bộ Đậu chiếm khoảng 9,6% sự đa dạng của thực vật hai lá mầm thật sự (Magallón và ctv. 1999). Wikström và ctv. (2001) cho rằng bộ này đã xuất hiện khoảng 94-89 triệu năm trước (Ma), sự đa dạng hóa của bộ bắt đầu khoảng 79-74 Ma.Họ Đậu (Fabaceae) nghĩa rộng, là họ thực vật lớn thứ ba trên thế giới, chứa phần lớn (khoảng 19.400) loài trong bộ Đậu, các họ khác chỉ chiếm một tỷ lệ rất nhỏ trong sự đa dạng của bộ này. Các nghiên cứu trong bộ này chủ yếu tập trung vào họ Đậu, một phần là do sự đa dạng sinh học lớn của nó, một phần là do tầm quan trọng của nó như là các loài cây cung cấp thực phẩm. Họ Viễn chí là họ được nghiên cứu tương đối kỹ trong số các họ thực vật, một phần là do sự đa dạng khá lớn (khoảng 325 loài) của chi Viễn chí (Polygala), và do các thành viên của họ này, tương tự như họ Đậu, là các loài cây cung cấp thức ăn cho nhiều loài côn trùng cánh vẩy (Lepidoptera).[1][2] Trong khi các nhà phân loại học sử dụng các kỹ thuật phát sinh loài phân tử tìm thấy sự hỗ trợ mạnh cho bộ này, thì một điều cần lưu ý là vẫn tồn tại các nghi vấn về các quan hệ hình thái của hai họ Quillajaceae và Surianaceae đối với phần còn lại của bộ, một phần là do các nghiên cứu còn hạn chế đối với hai họ này.Phân bốBộ Đậu là bộ phân bố rộng khắp thế giới, ngoại trừ phân họ Đậu (Papilionoideae hay Faboideae) của họ Đậu là khá tản mát tại phần phía bắc của khu vực ôn đới."
29,Fagales,Dẻ,"Bộ Dẻ hay Bộ Sồi (danh pháp khoa học: Fagales) là một bộ thực vật có hoa, bao gồm một số loài cây được nhiều người biết đến như dẻ gai, sồi, dẻ, óc chó, bạch dương, trăn v.v. Chúng thuộc về nhánh Hoa hồng (rosids) của thực vật hai lá mầm thật sự. Các họ hiện nay được chấp nhận thuộc về bộ này là:Các họ    * Betulaceae - Họ bạch dương, cáng lò, trăn, phỉ. Khoảng 130-145 loài trong 6 chi. Chủ yếu vùng ôn đới Bắc bán cầu, kéo dài tới dãy Andes ở Nam Mỹ và Sumatra ở châu Á. Gần như không có tại châu Phi, trừ vùng rìa phía bắc.
    * Casuarinaceae - Họ phi lao. Khoảng 70-95 loài trong 3-4 chi. Phân bố trong khu vực Đông Nam Á và Malesia tới các đảo tây nam Thái Bình Dương, đặc biệt phổ biến tại Australia. Cũng có tại Madagascar.
    * Fagaceae - Họ Sồi, khoảng 670-900 loài trong 7-9 chi. Phân bố chủ yếu tại Bắc Mỹ, châu Âu, Đông Á và Đông Nam Á.
    * Juglandaceae - Họ óc chó. Khoảng 50 loài trong 7-10 chi. Phân bố trong khu vực từ ven dãy núi Himalaya tới Malesia và từ Mexico tới Colombia.
    * Myricaceae - Họ thanh mai. Khoảng 37-57 loài trong 3 chi. Rộng khắp tại Đông Á, Đông Nam Á, Bắc Mỹ, Trung Mỹ và miền bắc Nam Mỹ, tây bắc châu Âu, châu Phi hạ Sahara (bao gồm cả Madagascar) và New Caledonia.
    * Nothofagaceae - Họ Sồi phương Nam. Khoảng 35 loài trong 1 chi tại Nam Mỹ, New Guinea, Australia, New Zealand.
    * Rhoipteleaceae - Họ đuôi ngựa. Chỉ có 1 loài trong 1 chi tại miền bắc Việt Nam và miền nam Trung Quốc.
    * Ticodendraceae: Chỉ có 1 loài trong 1 chi ở Trung Mỹ.Như vậy, bộ này chứa khoảng 1.050-1.250 loài trong 30-33 chi thuộc 8 họ.Các hệ thống và văn bản phân loại thực vật, tuân theo hệ thống Cronquist, chẳng hạn như bảng liệt kê của Kew (xem liên kết ngoài dưới đây), chỉ đưa vào bộ này bốn họ là Betulaceae, Corylaceae, Fagaceae, Ticodendraceae.Họ Corylaceae hiện nay được đưa vào trong họ Betulaceae). Các họ còn lại được đưa vào trong các bộ khác, thuộc về phân lớp Kim lũ mai (Hamamelidae). Bộ Casuarinales bao gồm duy nhất một họ là Casuarinaceae, bộ Juglandales bao gồm hai họ là Juglandaceae và Rhoipteleaceae, còn bộ Myricales chứa những họ còn lại (cùng với chi Balanops hiện nay thuộc họ Balanopaceae). Có thay đổi này là do các nghiên cứu cho rằng bộ Myricales, khi được định nghĩa như vậy, là nhóm cận ngành với hai nhóm khác."
30,Funariales,Rêu trên đất,
31,Garryales,Đỗ trọng,"Bộ Garryales là một bộ nhỏ trong thực vật hai lá mầm, chỉ bao gồm 2 họ với 3 chi và khoảng 18 loài:Họ Garryaceae (đồng nghĩa: Aucubaceae): 2 chi, 17 loàiGarrya: 14 loài. Khu vực phân bố: miền tây Bắc Mỹ, Trung Mỹ và Đại Antilles. Trong tiếng Anh gọi chung là silktassel (tua lụa).Aucuba: 3 loài. Khu vực phân bố: Sikkim tới miền bắc Myanma, Trung Quốc tới Đài Loan và Nhật Bản. Tại Việt Nam có 1 loài (Aucuba chinensis), gọi là ô rô bà.Họ Eucommiaceae: 1 chi, 1 loài đỗ trọng (Eucommia ulmoides). Khu vực phân bố: Trung Quốc, Việt Nam.EucommiaTheo APG II, bộ này thuộc về nhánh Cúc thật sự I (euasterids I). Trong hệ thống Cronquist, họ Garryaceae được đặt trong bộ Cornales còn họ Eucommiaceae được đặt trong bộ riêng của chính nó thuộc phân lớp Hamamelidae."
32,Gentianales,Long đởm,"Bộ Long đởm đôi khi còn gọi là bộ Hoa vặn (Contortae), là một bộ thực vật có hoa, bao gồm trong nó nhóm các loài có cùng một nguồn gốc đơn nhất của thực vật hai lá mầm có hoa cánh hợp, thuộc nhánh Cúc (Asterid). Các họ điển hình của các hệ thống phân loại gần đây được đưa ra ở bên phải. Các loài cây trong bộ khá đa dạng, lá thường mọc đối. Mạch gỗ với bản ngăn đơn. Hoa đều, tràng tiền khai hoa vặn, hoa thích nghi với lối thụ phấn nhờ sâu bọ.Theo hệ thống phân loại Cronquist đã lỗi thời thì các họ như Saccifoliaceae, Retziaceae và họ Bông tai (Asclepiadaceae), nay là một phần của họ La bố ma, cũng được đưa vào đây. Cũng trong hệ thống này thì họ Thiến thảo (Rubiaceae) đã được đặt vào một bộ riêng còn họ Hoàng đằng (Gelsemiaceae) là một phần của họ Mã tiền (Loganiaceae).Theo APG II bộ này chứa 5 họ, 1.118 chi và 16.637 loài và đã xuất hiện cách đây khoảng 89-83 triệu năm trước.Struwe và ctv. (1995) cho rằng họ Loganiaceae, thậm chí ngay cả khi được định nghĩa hẹp, là cực kỳ đa ngành, với các nhánh bao gồm khoảng 1.300 chi và 15.500 loài (các họ Rubiaceae, Gentianaceae, Apocynaceae + Asclepiadaceae) xuất hiện từ trong họ này; chúng cũng phân định các họ một cách tương ứng. B. Bremer (1996), Potgeiter và ctv (2000), Backlund và ctv. (2000) lại cho rằng có mối quan hệ khác hẳn - họ Rubiaceae là chị em với Loganiaceae, Gentianaceae, Gelsemiaceae và Apocynaceae và quan hệ giữa 4 họ sau là không rõ ràng. M. Endress và ctv. (1996) lại tìm thấy mối quan hệ Gelsemiaciaceae (Strychnaceae + Geniostomaceae - hỗ trợ tốt Apocynaceae), và điều này cũng được hỗ trợ trong các phân tích của B. Bremer và Struwe (1992)."
33,Geraniales,Mỏ hạc,"Bộ Mỏ hạc là một bộ nhỏ của thực vật có hoa, nằm trong phạm vi nhánh hoa Hồng (rosids) của thực vật hai lá mầm. Họ lớn nhất trong bộ này là Geraniaceae với khoảng 750- 800 loài. Ngoài ra, bộ này còn một số họ nhỏ khác, tổng cộng chưa tới 40 loài. Phần lớn các loài trong bộ Mỏ hạc là cây thân thảo, nhưng có một vài loài là cây bụi hay cây thân gỗ nhỏ.Tầm quan trọng kinh tế của bộ Mỏ hạc là không đáng kể. Một số loài trong chi Pelargonium được trồng để lấy tinh dầu thơm sử dụng trong công nghiệp sản xuất nước hoa. Một số loài khác, chủ yếu trong họ Geraniaceae, được trồng làm cảnh hoặc làm cây thuốc trong y học.Các mẫu hóa thạch cổ thực vật học của bộ này hiện nay vẫn không tìm thấy.Phân loạiCác họ đưa ra tại bảng thông tin trong bài này là điển hình trong các phân loại mới nhất. Trong các định nghĩa đó thì họ Hypseocharitaceae được đưa vào trong họ Geraniaceae, các họ Francoaceae và Greyiaceae được đưa vào trong họ Melianthaceae, nhưng chúng cũng có thể được coi là các họ riêng rẽ. Ngoài ra, họ Ledocarpaceae cũng có thể đưa vào trong họ Vivianiaceae.Trong hệ thống CronquistTrong hệ thống Cronquist cũ thì bộ Geraniales có cấu trúc khác, bao gồm các họ sau:    * Họ Geraniaceae
    * Họ Oxalidaceae (APG II coi họ này thuộc bộ Chua me đất - Oxalidales, phân nhóm rosid)
    * Họ Limnanthaceae (APG II coi họ này thuộc bộ Cải - Brassicales, phân nhóm eurosid II)
    * Họ Tropaeolaceae (APG II coi họ này thuộc bộ Cải - Brassicales, phân nhóm eurosid II)
    * Họ Balsaminaceae (APG II coi họ này thuộc bộ Thạch nam - Ericales, phân nhóm asterid)Các họ Vivianiaceae và Ledocarpaceae được đưa vào trong họ Geraniaceae, còn họ Hypseocharitaceae nằm trong họ Oxalidaceae, hiện nay được coi là thuộc bộ riêng của chính nó là bộ Oxalidales. Họ Melianthaceae được đặt trong bộ Sapindales, các họ Greyiaceae và Francoaceae nằm trong bộ Rosales, sau đó lại được xếp vào họ Saxifragaceae."
34,Ginkgoales,Bạch quả,"Bộ Bạch quả (danh pháp khoa học: Ginkgoales) là bộ thực vật hạt trần nằm trong lớp Bạch quả (Ginkgoopsida). Bộ này đã xuất hiện trong kỷ Jura (199,6 - 145,5 Ma) của đại Trung Sinh (251,0 - 65,5 Ma), và ngày nay đại diện duy nhất còn sinh tồn đã biết là bạch quả (Ginkgo biloba), mà vì lý do như đã nói trên, đôi khi được coi như là hóa thạch sống. Tuy nhiên, trước đây thì các đại diện của một vài họ khác cũng đã từng tồn tại.Tiền sửLoài bạch quả ngày nay là một hóa thạch sống, với các hóa thạch có mối liên quan đã được công nhận với bạch quả ngày nay có từ kỷ Permi, với niên đại khoảng 270 triệu năm trước. Chúng đã đa dạng hóa và phổ biến khắp đại lục Laurasia kể từ giữa kỷ Jura và kỷ Phấn Trắng, nhưng sau đó thì trở nên hiếm hơn. Vào thế Paleocen, Ginkgo adiantoides là loài Ginkgo duy nhất còn lại ở Bắc bán cầu với dạng khác biệt đáng kể (chưa được lập hồ sơ kỹ lưỡng) tồn tại ở Nam bán cầu, và vào cuối thế Pliocen thì các hóa thạch của các loài Ginkgo đã biến mất từ các mẫu hóa thạch ở mọi nơi, ngoại trừ một khu vực nhỏ ở miền trung Trung Quốc nơi mà loài bạch quả hiện đại còn tồn tại. Trên thực tế người ta nghi ngờ việc hóa thạch của các loài bạch quả ở Bắc bán cầu có thể được phân biệt một cách đáng tin cậy hay không; tạo ra tốc độ tiến triển chậm trong tiến hóa của chi này, có thể chỉ có tổng cộng 2 loài; là các loài mà ngày nay khoa học gọi là G. biloba (bao gồm cả G. adiantoides), và G. gardneri có trong thế Paleocen ở Scotland.Ít nhất về mặt hình thái học thì G. gardneri và các loài ở Nam bán cầu chỉ là các đơn vị phân loại hậu Jura đã biết và có thể được công nhận một cách không nghi ngờ, những phần còn lại có thể chỉ đơn giản là các kiểu sinh thái hoặc các phân loài. Hàm ý trong đó là G. biloba đã từng phổ biến trên một khu vực cực rộng lớn, có độ linh động di truyền đáng kể và mặc dù tiến hóa nhưng về mặt di truyền học thì chưa bao giờ thể hiện nhiều sự hình thành loài. Sự xuất hiện của G. gardneri, loài dường như là đặc hữu của vùng núi Caledonia, và sự đa dạng hơi nhiều hơn ở Nam bán cầu, gợi ý rằng các dãy núi cổ ở Bắc bán cầu có thể lưu giữ các hóa thạch hiện chưa được phát hiện ra của các loài Ginkgo khác. Do sự phân bố của Ginkgo đã mang tính chất của sinh vật cổ còn sót lại vào giai đoạn tiền sử gần đây, nên cơ hội để ADN cổ đại từ các mẫu vật cận hóa thạch có thể đưa ra bất kỳ tia sáng nào cho vấn đề này dường như là rất nhỏ. Trong khi một điều dường như là không chắc chắn rằng các loài có thể tồn tại như một thực thể cận kề trong nhiều triệu năm, thì nhiều thông số về lịch sử sự sống của Ginkgo lại phù hợp. Chúng là: tuổi thọ cực cao; tốc độ sinh sản chậm; (trong đại Tân Sinh và thời gian sau này) sự phân bổ rộng, dường như là cận kề, nhưng co lại dần dần cùng với sự cực kỳ bảo thủ về mặt sinh thái (chỉ hạn chế trong các vùng đất nhẹ ven sông) như có thể thấy từ các mẫu hóa thạch thu thập được; và mật độ quần thể thấp.Phân loạiTrong cổ thực vật học, các thực vật tương tự như bạch quả và được coi một cách khá chắc chắn thuộc về bộ Bạch quả hiện tại được chia thành 5 họ với ít nhất 11-12 chi đã được phân loại (các loài/chi tuyệt chủng được đánh dấu bằng †):    * Karkeniaceae: †
          o Karkenia †
          o Sphenobaiera † (một phần)
          o Ginkgoites † (một phần)
    * Schmeissneriaceae: †
          o Schmeissneria †
    * Umaltolepidiaceae: †
          o Toretzia †
          o Pseudotorellia †
          o Umaltolepis †
    * Yimaiaceae: †
          o Baiera † (ít nhất là một phần)
          o Yimaia †
    * Ginkgoaceae:
          o Ginkgo
          o Ginkgoites † (một phần)
          o Grenana †"
35,Gleicheniales,Guột,"The ferns  of the order Gleicheniales are – like all ferns and the related horsetails – sometimes placed in an infradivision  Monilophytes  of subdivision Euphyllophytina, allowing for more precise phylogenetic arrangement of the tracheophytes. More conventionally, the name Pteridophyta, ranked as a division, is used in lieu of the Monilophytes.These ferns are characterized by root steles having 3–5 protoxylem poles and antheridia with 6–12 narrow, twisted or curved cells in their walls[1]. Otherwise, their habitus is highly diverse, including plants with the typical fern fronds, others whose leaves resemble those of palm trees, and yet others again which have undivided leaves. They are tropical ferns, most diverse in Asia and the Pacific region.There is some dispute about ranking these ferns. They may be alternatively be considered a subclass Gleicheniatae of the Pteridopsida, with the taxa treated as families here upranked to orders, so that a distinct subclass can be established for the leptosporangiate ferns.In other treatments, they are expanded to include the filmy ferns (order Hymenophyllales), as well as the similar-looking genus Hymenophyllopsis (as order Hymenophyllopsidales). The resultant group may be treated as a class Gleichenopsida alongside the Pteridopsida, which would then be limited to the leptosporangiate ferns. Alternatively, the expanded group may be ranked as a subclass Gleicheniatae, with the Pteridopsida encompassing all ""true"" ferns and excluding only the Marattiopsida and Psilotopsida. However, the expanded Gleicheniales do not seem to be monophyletic but rather a basal grade, retaining ancient traits among the living ferns – though Hymenophyllopsis for example may well be an atavistic offshoot of the Cyatheaceae.Irrespective of their modern taxonomic treatment, the Gleicheniales were formerly included in the order Polypodiales. But the ferns in the loose sense are much too diverse a group to be shoehorned into one taxon at such a low rank.The form taxon Microphyllopteris is used for some Mesozoic Gleicheniales that cannot be reliably assigned to the present-day orders. The Triassic Antarctipteris and Gleichenipteris are sometimes ascribed to the Gleicheniaceae, but are probably better considered Gleicheniales incertae sedis."
36,Gnetales,Dây gắm,"Bộ Gnetales với chi duy nhất của nó, Gnetum, chủ yếu là các loại dây leo thân gỗ trong các cánh rừng nhiệt đới. Tuy nhiên, loài được biết đến nhiều nhất của chi này, Gnetum gnemon, lại là một cây thân gỗ. Hạt của nó được dùng như là một loại đồ ăn kèm với tên gọi 'Keropok Belinjau' ở Malaysia và Indonesia. Tên gọi trong tiếng Mã Lai của nó là 'belinjau'"
37,Gunnerales,Dương nhị tiên,"Bộ Dương nhị tiên (danh pháp khoa học: Gunnerales, đồng nghĩa: Myrothamnales Reveal, Myrothamnanae  Takhtadjan) là một bộ trong thực vật có hoa. Trong hệ thống APG II năm 2003 người ta coi nó chứa hai chi là Gunnera và Myrothamnus. Cả hai chi này cũng có thể coi là nằm trong cùng một họ là họ Gunneraceae  hoặc là hai họ tách rời (Gunneraceae và Myrothamnaceae). Đây là một nhóm kỳ lạ. Gunneraceae (40-50 loài) và Myrothamnaceae (2 loài) trông rất khác nhau; một bên là các cây thân thảo lớn ưa ẩm vừa phải, trong khi nhóm kia là các cây bụi trong các môi trường khô cằn. Trong nhóm đầu tiên, các mô tuyến muối phát triển mạnh và các chất nhầy (hay có thể là lắc dạng nhựa) được tiết ra, trong khi ở nhóm thứ hai thì các mô tuyến muối kém phát triển và cây tiết ra nhựa. Cả hai nhóm đều có các hoa với ít bao hoa, nhưng các đặc điểm của phấn hoa v.v, là khác nhau (Zavada & Dilcher 1986; Wanntorp và ctv., 2004). Vì thế, mặc dù có một tùy chọn về việc gộp họ Myrothamnaceae vào trong họ Gunneraceae của APG II (2003), nhưng cả hai họ này đều nhỏ và là các họ đơn chi, dường như cách tốt nhất là để riêng rẽ hai họ này (Wilkinson, 2000). Các loài trong bộ này phân bổ rải rác trên các đảo vòng quanh khu vực nam Thái Bình Dương, Nam Mỹ, châu Phi đại lục và MadagascarPhân loại    * Gunneraceae + [Myrothamnaceae]: 1-2 họ, 2 chi, khoảng 42-52 loài.Trong hệ thống Cronquist (1981) Gunneraceae được đặt trong bộ Haloragales còn Myrothamnaceae nằm trong bộ Hamamelidales.Mặc dù bộ Gunnerales đã được đặt trong nhóm thực vật hai lá mầm thật sự phần lõi (core eudicots) trong cả APG I lẫn APG II (1998, 2003), nhưng website của APG lại loại bỏ nó ra khỏi nhóm này do các đặc trưng hình thái hoa chủ yếu của nó được chia sẻ rộng hơn so với nhóm đang xem xét (plesiomorphy).Nhóm thân cây trong cây phát sinh loài của bộ Gunnerales có niên đại khoảng 115 - 112 triệu năm trước (Ma), còn niên đại của nhóm chỏm cây là khoảng 90 - 55 Ma (Anderson và ctv. 2005)."
38,Hamamelidales,Sau sau,"Còn gọi là Bộ Kim lũ mai, là tên gọi của một bộ thực vật trong thực vật có hoa, được sử dụng trong một số hệ thống phân loại thực vật. Hệ thống Cronquist năm 1981 đặt bộ này nằm trong phân lớp Hamamelidae với định nghĩa như sau:    * Bộ Hamamelidales          Họ Hamamelidaceae – kim lũ mai, hồng quang v.v
          Họ Cercidiphyllaceae – liên hương
          Họ Eupteleaceae – lĩnh xuân
          Họ Platanaceae – tiêu huyền
          Họ MyrothamnaceaeCác nghiên cứu hệ thống hóa ở cấp độ phân tử gần đây cho rằng các họ này không có quan hệ họ hàng gần với nhau và hệ thống APG II năm 2003 đã sắp xếp chúng lại trong các bộ khác nhau: Hai họ Hamamelidaceae và Cercidiphyllaceae đặt trong bộ Saxifragales, họ Eupteleaceae trong bộ Ranunculales, họ Platanaceae trong bộ Proteales còn họ Myrothamnaceae trong bộ Gunnerales."
