Ten_KH,Ten_TV,Mo_ta,idNganh
Gingkopsida,Bạch quả,"Lớp Bạch quả (danh pháp khoa học: Ginkgoopsida, đôi khi viết thành Ginkgopsida) là lớp thực vật hạt trần duy nhất của ngành Bạch quả (Ginkgophyta). Lớp này có lẽ đã xuất hiện trong thời gian cuối kỷ Than Đá hay đầu kỷ Permi (khoảng 290 Ma), và ngày nay đại diện duy nhất còn sinh tồn đã biết là bạch quả (Ginkgo biloba), mà vì lý do như đã nói trên, đôi khi được coi như là hóa thạch sống. Tuy nhiên, trước đây thì các đại diện của một vài họ khác cũng đã từng tồn tại.Số lượng loài lớn nhất của lớp Ginkgoopsida có trong giai đoạn từ kỷ Trias tới kỷ Phấn Trắng. Trong kỷ Jura đã xuất hiện chi Ginkgo (bạch quả). Từ kỷ Jura tới kỷ Phấn Trắng thì lớp Ginkgoopsida có phân bố rộng khắp thế giới và vì thế có thể có các hóa thạch của các loài có quan hệ họ hàng gần gũi với chi Ginkgo tại Trung Âu. Do lịch sử phát triển lâu dài của mình cũng như một loạt các đặc trưng nguyên thủy, nên bạch quả (Ginkgo biloba) có thể coi là hóa thạch sống cổ nhất trong giới thực vật, để miêu tả chi tiết mọi họ hàng đã biến mất của nó.",617adc34dafff4d09faf21ca
Gnetopsida,"Gắm, Rau bép","Ngành Dây gắm (Gnetopsida) là một lớp của thực vật hạt trần chứa ba họ có quan hệ họ hàng trong một nhóm đa ngành của thực vật có hạt. Dây gắm khác với các thực vật hạt trần khác ở chỗ chúng có mạch gỗ giống như ở thực vật có hoa (Angiosperm hay Magnoliophyta), và người ta còn cho rằng Gnetophyta có thể được đưa vào nhóm thực vật có hạt có quan hệ gần gũi nhất với thực vật có hoa. Do vị trí đặc biệt trong ngành Thông, mang nhiều đặc điểm chuyên hóa cao như có mạch thật, trong gỗ thứ cấp không có ống nhựa. Lá mọc đối. Bông lá bào tử tiêu giảm nhiều, đơn tính, dạng xim phân nhánh đôi. Chung quanh có lớp bao như bao hoa, ở một số đại diện có dấu hiệu di tích của hiện tượng lưỡng tính đã tiêu giảm. Ống lỗ noãn dài do vỏ trong của noãn kéo dài tạo thành. Nguyên tản đực và cái rất tiêu giảm. Phôi có 2 lá mầm. Đây là một nhóm thực vật đặc biệt rất gần với Hạt kín. Người ta cho có thể nó bắt nguồn từ Á tuế hoặc có cùng tổ tiên chung nhưng nguyên thủy hơn thể hiện ở chỗ:- Có hiện tượng lưỡng tính ở một số đại diện của Dây gắm chứng tỏ tổ tiên có tính chất này như ở Á tuế.- Có ống lỗ noãn giống Á tuế và Dương xỉ có hạt.- Noãn có vỏ dày.Tuy nhiên chúng ta chưa có dấu hiệu gì về Cổ thực vật.Lớp này được chia thành 3 bộ, mỗi bộ chỉ có một họ và một chi duy nhất:Bộ Gnetales: Họ Gnetaceae; chi Gnetum với 30-35 loàiBộ Welwitschiales: Họ Welwitschiaceae; chi Welwitschia với 1 loài duy nhất là Welwitschia mirabilisBộ Ephedrales: Họ Ephedraceae; Chi Ephedra (ma hoàng) với trên 30 loài.Bộ Gnetales với chi duy nhất của nó, Gnetum, chủ yếu là các loại dây leo thân gỗ trong các cánh rừng nhiệt đới. Tuy nhiên, loài được biết đến nhiều nhất của chi này, Gnetum gnemon, lại là một cây thân gỗ. Hạt của nó được dùng như là một loại đồ ăn kèm với tên gọi 'Keropok Belinjau' ở Malaysia và Indonesia. Tên gọi trong tiếng Mã Lai của nó là 'belinjau'.Bộ Welwitschiales chỉ có một loài duy nhất là Welwitschia mirabilis. Loài cây này chỉ mọc ở vùng hoang mạc của Namibia. Nó là một loài cây lạ do nó chỉ có hai lá to và dài giống như dây đai trong suốt cả cuộc đời. Chúng phát triển liên tục từ gốc lá và thông thường bị xé rách ở đoạn cuối lá do gió.Bộ Ephedrales chứa một chi duy nhất là Ephedra, chúng có các nhánh dài thon thả mang các lá nhỏ giống như vảy bắc ở các đốt mắt. Ephedra là một loại cây thuốc, nhưng gần đây đã bị FDA của Hoa Kỳ cấm sử dụng do các hiệu ứng phụ nguy hại và có khả năng gây tử vong.",617adc34dafff4d09faf21cb
Isoetopsida,,,617adc34dafff4d09faf21cc
Liliopsida,Một lá mầm,"Thực vật một lá mầm (Liliopsida) là một nhóm các thực vật có hoa có tầm quan trọng bậc nhất, chiếm phần lớn trên Trái Đất. Tầm quan trọng kinh tế của chúng không phải là sự đánh giá quá cao. Hiện nay, người ta ước tính có khoảng 50.000-60.000 loài trong nhóm này (theo có 59.300 loài). Họ lớn nhất trong nhóm này cũng là họ lớn nhất trong thực vật có hoa là họ Phong lan (danh pháp khoa học Orchidaceae), nhưng họ này đôi khi được coi như một bộ, với khoảng trên 20.000 loài. Chúng có hoa rất phức tạp (và nổi bật), đặc biệt thích hợp với việc thụ phấn nhờ côn trùng. Họ có tầm quan trọng kinh tế lớn nhất trong nhóm này (và trong thực vật có hoa) là họ Hòa thảo (hay họ Cỏ, họ Lúa), với danh pháp khoa học là Gramineae hay Poaceae. Họ này bao gồm các loại ngũ cốc (lúa, lúa mì, ngô v.v), các loài cỏ trên các bãi chăn thả gia súc cũng như các loại tre, nứa, trúc, giang, luồng v.v. Họ cỏ (thực thụ) này đã tiến hóa theo hướng khác và trở thành đặc biệt thích nghi với phương thức thụ phấn nhờ gió. Các loài cỏ sinh ra nhiều hoa nhỏ và các hoa này tập hợp lại với nhau thành bông rất dễ thấy (cụm hoa). Một họ khác cũng đáng chú ý về mặt kinh tế là họ Cau hay họ Cọ với danh pháp khoa học là Palmae hay Arecaceae. Tên gọi khoa học của thực vật một lá mầm là monocotyledons có nguồn gốc từ tên gọi thực vật học truyền thống Monocotyledones (mono = một, cotyledon = lá mầm), do thực tế là phần lớn các thành viên của nhóm này có một lá mầm, hay lá phôi mầm trong hạt của chúng. Nó là đối lập với thực vật hai lá mầm (truyền thống) thông thường có hai lá mầm. Tuy nhiên, việc xem xét số lượng lá mầm không phải là đặc điểm đáng tin cậy. Thực vật một lá mầm là một nhóm riêng biệt. Một trong các đặc điểm đáng tin cậy nhất là hoa của thực vật một lá mầm thuộc dạng ba đoạn, với các phần hoa được chia thành ba hay bội số của ba. Ví dụ, hoa của thực vật một lá mầm có thể có 3, 6 hay 9 cánh hoa. Rất nhiều thực vật một lá mầm có lá với các gân lá song song.",617adc34dafff4d09faf21cd
Lycopodiopsida,Thông đất,"Lớp Thạch tùng hay lớp Thông đất (danh pháp khoa học: Lycopodiopsida, danh pháp cũ Lycopsida) là một lớp thực vật, thường được gộp nhóm lỏng lẻo như là các đồng minh của dương xỉ, và bao gồm các loài thạch tùng, thông đất, thạch sam. Lớp Lycopodiopsida theo truyền thống bao gồm tất cả các dạng thạch tùng, bao gồm cả các chi Selaginella  (quyển bá) và Isoetes  (thủy phỉ). Tuy nhiên, các đơn vị phân loại này trong phạm vi ngành Lycopodiophyta hiện nay được coi là đủ cổ đại để dảm bảo cho chúng có sự chia tách ở cấp bậc cao hơn, phù hợp với miêu tả theo nhánh học.Các dạng thông đất về cấu trúc là tương tự như các dạng thực vật có mạch sớm nhất, với các lá nhỏ, trông giống như vảy, các bào tử cùng một dạng được sinh ra trong các túi bào tử ở phần gốc lá, thân phân cành (thường rẽ đôi) và nói chung có dạng đơn giản.Lớp Lycopodiopsida như diễn giải tại đây chỉ chứa một bộ còn sinh tồn là bộ Lycopodiales và một bộ đã tuyệt chủng là bộ Drepanophycales.Bộ LycopodialesPhân loại của nhóm này trong những năm gần đây vẫn chưa được giải quyết và sự đồng thuận vẫn chưa có. Các phân loại cũ có định nghĩa và giới hạn rộng hơn cho chi Lycopodium (thạch tùng), và thực tế bao gồm toàn bộ các loài của bộ Lycopodiales. Xu hướng trong những năm gần đây có định nghĩa cho chi Lycopodium hẹp hơn và xếp các loài khác trong vài chi, một sự xếp đặt được cả các dữ liệu hình thái học lẫn dữ liệu phân tử hỗ trợ và nó được phê chuẩn trong một loạt các sửa đổi cũng như các kiểu giải quyết cho nhóm thực vật này. Các chi này rơi vào hai nhóm khác biệt nhưng vẫn chưa có đồng thuận về việc nên công nhận chúng trong một họ duy nhất là Lycopodiaceae hay nên tách chúng ra thành hai họ: là họ Lycopodiaceae với định nghĩa hẹp và họ Huperziaceae (thạch sam).Họ Lycopodiaceae, theo định nghĩa hẹp bao gồm chi còn loài sinh tồn là Lycopodium, bao gồm các loài như thạch tùng châu Âu (hay thạch tùng chân sói) (Lycopodium clavatum), thông đất (Lycopodium obscurum), thạch tùng phương nam hay tuyết tùng đất phương Nam (Lycopodium digitatum) và một số các loài khác. Trong họ này còn có các loài của chi Lycopodiella, như thạch tùng đầm lầy hay thạch tùng nhỏ (Lycopodiella inundata). Phần lớn các loài của chi Lycopodium đều ưa thích các dạng đất cát, chua vùng cao trong khi các loài trong chi Lycopodiella lại ưa đất chua vùng đầm lầy.Nhóm chính khác, họ Huperziaceae còn gọi là thạch sam. Nhóm này bao gồm chi Huperzia, chẳng hạn như thạch sam sáng (Huperzia lucidula), thạch sam núi (Huperzia porophila), thạch sam phương Bắc (Huperzia selago). Nhóm này cũng bao gồm nhóm thực vật kỳ cục dạng thân củ ở Australasia của chi Phylloglossum, mà cho tới tận gần đây người ta vẫn cho rằng chỉ có quan hệ họ hàng xa với thạch tùng. Tuy nhiên, thử nghiệm gen gần đây đã chỉ ra rằng nó có quan hệ họ hàng rất gần với chi Huperzia.",617adc34dafff4d09faf21cc
Magnoliopsida,Hai lá mầm,"Thực vật hai lá mầm (Magnoliopsida) là tên gọi cho một nhóm thực vật có hoa ở cấp độ lớp mà hạt thông thường chứa hai lá trong phôi hay hai lá mầm. Có khoảng 199.350 loài trong nhóm này. Thực vật có hoa mà không phải là thực vật hai lá mầm thì thuộc thực vật một lá mầm, thông thường có một lá mầm. Hiện nay nhờ các nghiên cứu của APG người ta chấp nhận rằng thực vật một lá mầm đã tiến hóa từ trong thực vật hai lá mầm, cũng như thực vật hai lá mầm tạo thành một nhóm cận ngành. Điều này có nghĩa là thực vật hai lá mầm sẽ không còn được coi là một nhóm ""tốt"", và tên gọi ""thực vật hai lá mầm"" (dicotyledons hay dicots) sẽ không còn được sử dụng nữa, ít nhất là trong ngữ cảnh phân loại học. Tuy nhiên, phần chủ yếu của thực vật hai lá mầm cũ sẽ tạo thành nhóm đơn ngành được gọi là thực vật hai lá mầm thật sự (eudicots) hay ba lỗ chân lông (tricolpates) của phấn hoa. Chúng có thể phân biệt với tất cả các loài thực vật có hoa còn lại nhờ cấu trúc phấn hoa của chúng. Các loài thực vật một lá mầm và các loài còn lại của thực vật hai lá mầm có phấn hoa đơn rãnh, hoặc tạo thành các dạng tiến hóa từ chúng, trong khi thực vật hai lá mầm thực thụ có phấn hoa dạng ba lỗ chân lông hay các dạng tiến hóa từ chúng (phấn hoa có 3 hoặc nhiều hơn các bộ lỗ chân lông trong các rãnh gọi là colpi. Thông thường, thực vật hai lá mầm từng còn có tên gọi khoa học khác là Dicotyledones (hay Dicotyledoneae), ở cấp độ bất kỳ. Nếu coi như là một lớp, như trong hệ thống Cronquist, chúng có thể gọi là Magnoliopsida theo chi điển đình là chi Mộc lan (Magnolia). Trong một số sơ đồ, thực vật hai lá mầm được coi như là một lớp riêng, là lớp Hoa hồng (Rosopsida theo chi điển hình: chi Hoa hồng - Rosa), hoặc coi như là các lớp riêng rẽ. Phần còn lại của thực vật hai lá mầm (thực vật hai lá mầm cổ-paleodicots) có thể giữ trong một lớp cận ngành duy nhất, gọi là Magnoliopsida, hoặc được phân chia tiếp.",617adc34dafff4d09faf21cd
Marattiopsida,"Rau bợ, Tòa sen","Lớp Dương xỉ tòa sen hay lớp Tòa sen (danh pháp khoa học: Marattiopsida) là một nhóm dương xỉ chỉ chứa một bộ với danh pháp Marattiales và một họ có danh pháp Marattiaceae. Lớp Marattiopsida đã rẽ nhánh ra khỏi các nhóm dương xỉ khác từ rất sớm trong lịch sử tiến hóa của mình và hoàn toàn khác biệt với nhiều loại thực vật quen thuộc đối với những người ở khu vực ôn đới. Nhiều loài trong lớp này có thân rễ to, nhiều thịt và có các lá lược lớn nhất trong số các loài dương xỉ. Họ Marattiaceae là một trong số hai họ dương xỉ túi bào tử thật, nghĩa là túi bào tử được hình thành từ một nhóm tế bào chứ không phải túi bào tử giả (trong đó túi bào tử sinh ra từ một tế bào ban đầu). Hiện nay, người ta công nhận 4 chi còn sinh tồn là Angiopteris, Christensenia, Danaea và Marattia với nhiều chi đã tuyệt chủng chỉ còn hóa thạch như Psaronius, Asterotheca, Scolecopteris, Eoangiopteris, Qasimia, Marantoidea, Danaeites, Marattiopsis  v.v.Đặc điểm: Gồm những đại diện tương đối nguyên thuỷ của Dương Xỉ hiện đại.Thân ngắn thường nạc, mô mềm phát triển.Lá phát triển mạnh, dạng kép 1- 2 lần lông chim. Hệ gân phụ trên lá chét phân nhân đôi.Túi bào tử có vách gồm nhiều lớp tế bào chưa có vòng cơ, xếp thành ổ dọc 2 bên mép của phiến lá. Bào tử giống nhau.Phân loại: Gồm 2 bộ: Marattiales và Angiopterdales phân biệt nhau bởi đặc điểm.- Marattiales : lá kép lông chim 1 lần.- Angiopteridales : lá kép lông chim 2 lần.Trong nhóm này, tán lá lược lớn có thể thấy ở chi Angiopteris (dương xỉ móng trâu), có nguồn gốc từ Australasia, Madagascar và châu Đại Dương. Các lá lược có thể dài tới 9 m như ở loài Angiopteris teysmanniana ở Java. Tại Jamaica loài Angiopteris evecta đã xâm nhập và thích nghi với điều kiện thổ nhưỡng ở đây. Nó bị coi là loài xâm hại. Loài cây này được Bligh, khi đó là đại úy hải quân của Hải quân Hoàng gia Anh, đưa từ Tahiti vào đây như là nguồn cung cấp lương thực cho các nô lệ và lần đầu tiên được trồng tại các khu vườn Castleton năm 1860. Từ đây, nó đã lan rộng ra khắp nửa phía đông của đảo này.Một chi khác từ Đông Á là Christensenia, một loại dương xỉ kỳ dị với các lá lược tương tự như lá của dẻ ngựa. Tên gọi khoa học của loài Christensenia aesculifolia có nghĩa là lá dẻ ngựa Christensen. Christensen là họ của một nhà dương xỉ học nổi tiếng người Đan Mạch.Chi phổ biến nhất trong họ Marattiaceae là Marattia, có mặt trong khắp khu vực nhiệt đới, thông thường ở các cao độ lớn. Đây cũng là các loài dương xỉ lớn với các thân rễ hình cầu, nhưng các lá lược có thể là dạng lông chim kép tới 4 lần. Các túi bào tử hợp nhất thành các cấu trúc hai mảnh vỏ gọi là cụm túi bào tử. Loài dương xỉ vua (Marattia salicina) ở New Zealand, được người Maori gọi là para cũng thuộc chi này. Đôi khi nó còn được gọi là dương xỉ khoai tây, do loài dương xỉ lớn của Australasia với thân rễ nhiều cùi thịt có thể ăn được đã từng được sử dụng như là nguồn cung cấp lương thực cho một số dân tộc bản địa.Chi thứ tư, Danaea là đặc hữu của khu vực nhiệt đới Tân thế giới. Chúng có các lá lông chim kép với các lá chét mọc đối, là các loài có tính lưỡng hình, các lá sinh sản thu nhỏ lại hơn và được che phủ ở mặt dưới bằng các cụm túi bào tử lõm xuống.Các tên gọi chi như Archangiopteris, Macroglossum, Protangiopteris, Protomarattia đều là từ đồng nghĩa của Angiopteris.Theo các nghiên cứu di truyền ở mức phân tử gần đây thì dường như nhóm dương xỉ túi bao tử thật này là nhóm có quan hệ chị em với mộc tặc (Equisetaceae).",617adc34dafff4d09faf21d1
Marchantiopsida,Rêu tản,"Đặc điểmCơ thể có cấu tạo lưng bụng, ở những đại diện thấp có cấu tạo tản, một số đại diện cao hơn có cấu tạo thân lá. Sinh sản dinh dưỡng bằng truyền thể. Sinh sản hữu tính bằng cơ quan sinh sản là túi tinh và túi trứng ở các cây khác nhau. Trong túi bào tử có sợi đàn hồi để phát tán bào tử.Phân loạiLớp Rêu tản gồm 4 bộ, 225chi với 8.500 loài. Ở nước ta có 50 chi và 266 loài. Thường gặp những nơi ẩm ướt, trên mặt đất, trên vỏ cây, mặt lá ẩm trong rừng.Đó là: Bộ Calobryales; Cơ thể dạng cây mang “lá”. “Lá” có 3 hàng. Túi bào tử mở bằng 4 mảnh van. Có sợi đàn hồi để phát tán bào tử.Bộ Rêu vảy: Jungermanniales;Bộ Rêu tản: MarchantialesBộ Rêu quả tròn: Sphaerocarpales. ",617adc34dafff4d09faf21ce
Ophioglossopsida,Lưỡi rắn,"Đặc điểmLà những đại diện cổ nhất trong các Dương xỉ hiện sống, chuyên hoá cao.Thân thảo, có thân rễ dưới đất, lá đơn có xẻ thuỳ rất sâu, nằm trên một cuống dài phân thành phần sinh sản và không sinh sản.Phần không sinh sản thường nguyên hay xẻ thuỳ chân vịt. Phần sinh sản thường phát triển thành một trụ nạc trên đó mang các túi bào tử, tạo thành dạng bông, vách túi gồm nhiều lớp tế bào, không phân hoá thành vòng cơ. Có bào tử giống nhau.Phân loạiGồm 1 bộ, 1 họ, 2 chi.+ Chi Sâm chân rết: Helminthostachys, với loài H.zeylanica (L.) Hook: Có thân rễ nằm ngang mang nhiều rễ ở 2 bên, lá phân thành 2 phần.- Phần không sinh sản, xẻ thuỳ chân vị sâu, gân hình lông chim.- Phần sinh sản là một trụ nạc, các túi bào tử phát triển ngay trên mô của trụ này.Mọc nhiều ở đất đồi, dung làm thuốc chửa hen. (Hình 10)+ Chi lưỡi rắn: Ophyoglossum với loài O. gramincum. Cây thảo nhỏ, chứa nhiều tanin (mọc nhiều ở vách đá tại Lăng Tự Đức - Huế).",617adc34dafff4d09faf21d1
Pinopsida,"Thông, Hạt trần","Chia làm 2 lớp:Gồm một bộ Thông tuế, đã hóa thạch, sống từ kỷ Devon muộn, phát triển mạnh ở kỷ Carbon và Permi. Đó là những cây gỗ lớn, phân cành mạnh, lá hình bầu dục, dài 1 m, rộng 20 cm. Có loài chỉ 3 - 4 cm. Thân có cấu tạo thứ cấp, một số mang tính chất giống Thông, một số khác có cấu tạo giống Tuế.Nón đơn tính khác gốc. Lá bào tử nhỏ có dạng 2, 6 túi (bào tử) phấn. Túi bào tử lớn có vỏ kép chính là noãn giống Tuế.Bộ Thông Tuế là nhóm trung gian giữa bộ Tuế và bộ Thông. Dưới lớp Thông - PiniidaeĐặc điểm: Gồm phần lớn những cây gỗ lớn, có lá nhỏ, phân cành mạnh, có thể đạt tới 150m, có cấu tạo gỗ giống nhau: vỏ mỏng, trụ thân lớn, gỗ gồm nhiều quả bào. Lá hình kim, hình vảy hay mũi mác.Cơ quan sinh sản hoàn toàn hình thành nón.- Nón đực gồm các lá bào tử nhỏ xếp chung quanh một trục bền, dưới mỗi lá bào tử nhỏ có mang 2 túi phấn 2 bên trong chứa nhiều hạt phấn. Hạt phấn của Thông có mang 2 túi khí ở hai bên.- Nón cái gồm các lá bào tử lớn xếp chung quanh một trục theo đường xoắn ốc. Gốc có lá bắc, mặt bên có noãn. Sự thụ phấn nhờ gió.Trong sự thụ tinh chỉ có một tinh tử của ống phấn phối hợp với tế bào trứng. Còn tinh tử thứ hai không dùng đến (nên gọi là sự thụ tinh đơn).Phôi thường có nhiều lá mầm. Hạt phán tán nhờ có lớp vỏ của lá noãn làm thành cánh ở phía trên. Khác với Tuế, ở Thông tinh trùng không có roi. Sự thụ tinh không cần nước.Phân loại: Chỉ gồm một bộ là bộ Thông Pinales gồm 8 họ, 55 chi và gần 600 loài. Có nhiều ý nghĩa quan trọng về mặt kinh tế như gỗ, dầu và đối với việc hình thành thảm thực vật như trên trái đất.",617adc34dafff4d09faf21cf
Polypodiopsida,Ráng đa túc,"Phần đông các tác giả phân chia lớp này thành 3 dưới lớp.A. Dưới lớp Dương xỉ - PolypodiidaeĐặc điểm: Là một dưới lớp lớn trong ngành Dương xỉ. Gồm phần lớn các Dương xỉ hiện sống, mang đặc điểm.- Gồm những cây có thân rễ hay thân gỗ lớn.- Cấu tạo thân chủ yếu là một kiểu đa trụ- Túi bào tử phân hoá cao gồm một lớp tế bào và có vòng cơ để mở túi. Hình dạng và vị trí vòng cơ khác nhau ở những bộ, họ khác nhau trong dưới lớp.- Chứa bào tử giống nhau, nẩy mầm cho nguyên tản lưỡng tính.Phân loại: Gồm 4 bộ Osmundales, Schizaeales, Polypodiales, Cyatheales. Có tới 14 họ, 270 chi và gần 10.000 loài.B. Dưới lớp rau bợ nước - MarsileidaeĐặc điểm: Thân thảo, sống ở nước, có thân rễ nằm ngang. Lá kép gồm 4 lá chét. Cơ quan sinh sản là các túi bào tử tập trung thành ổ túi. Ổ túi bào tử nằm ở trong một tổ chức đặc biệt gọi là “quả bào tử “. Quả bào tử lúc còn non có hình hạt đậu, có cuống dài đính trên cuống lá, có 4 ô ở mỗi quả hay nhiều túi xếp thành dãy. Hai dãy ổ túi bám chặt vào vòng nhày hình thành từ mô nằm bao quang ổ túi. Bên ngoài có các áo túi bọc gồm 2 mảnh. Mỗi ổ gồm 8 - 16 túi. Vách túi không có vòng cơ. Bào tử giống nhau về hình dạng nhưng khác nhau về kích thước. Quả bào tử chỉ được hình thành khi điều kiện sống bất lợi, còn bình thường thì sinh sản theo kiểu dinh dưỡng.Phân loại: Gồm 1 bộ, 1 họ, 3 chi là Regnelidium (6 loài) Pilularia (1 loài) và Marsilea (65 loài). Ở nước ta có 2 loài.- Marsilea quadrifolia L. Quả bào tử có cuống đính trên cuống lá - Đây là loài phổ biến.- Marsilea minuta L. Quả bào tử đính trên thân rễ. Ít phổ biếnDùng để chữa sỏi thận, thông tiểu, đái ra albumin, sưng vú, tắc tuyến sữa. C. Dưới lớp Bèo ong - SalviniidaeĐặc điểm: Gồm những Dương xỉ sống ở nước, thân nhỏ, có rễ hay không có rễ chính thức, sống trôi nổi trên mặt nước. Quả bào tử gồm một số túi bào tử chứa các bào tử khác nhau. Bào tử lớn và bào tử nhỏ hình thành trong các quả bào tử khác nhau. Sau khi nẩy mầm, bào tử nhỏ phát triển thành nguyên tản hết sức đơn giản. Sau lần phân chia thứ nhất, tế bào đầu tiên của nguyên tản hình thành 3 tế bào. Tế bào cuối cùng sau lần phân chia thứ hai hình thành tế bào rễ và tế bào dinh dưỡng. Hai tế bào còn lại sau lần phân chia thứ hai hình thành một tế bào sinh tinh và 2 tế bào vách. Cuối cùng từ một nguyên tản tạo ra 8 tinh trùng. Còn bào tử lớn hình thành từng cái một trong mỗi túi bào tử. Chúng nấy mầm khi còn trong túi bào tử .Phân loại: Gồm 1 bộ và chia ra 2 họ.Nhiều tài liệu về Cổ sinh học Dương xỉ cho phép chúng ta xác định mối quan hệ họ hàng giữa các nhóm Dương xỉ riêng lẻ và quan hệ của chúng với các ngành khác.Xét về nguồn gốc thì ngành Dương xỉ nối liền với ngành Dương xỉ trần. Từ Dương xỉ đã xuất hiện ra tiền Dương xỉ, đặt nền móng cho các nhóm còn lại của ngành Dương xỉQua quá trình tiến hoá, các đại diện của ngành này đã dần dần chuyển hoá nên không thể là tổ tiên trực tiếp của ngành Thông và ngành Ngọc Lan được. Chỉ có thể tìm tổ tiên của các ngành thực vật tiến hoá về sau trong số những đại diện của ngành này có dạng ít chuyển hoá hơn của Dương xỉ cổ với túi bào tử có vách dày.",617adc34dafff4d09faf21d1
Protococcophyceae,Tảo lục đơn bào,"Tản có dạng hạt sống đơn độc hay sống thành tập đoàn có hình dạng nhất định, đặc trưng cho loài, hay sống thành quần đoàn không có hình dạng xác định. Một số loài có tập đoàn kiểu palmella, kiểu mạng lưới. Thể màu hình bản hay hình chuông, thường chỉ có một thể màu trong mỗi tế bào.Sinh sản sinh dưỡng bằng cách phân chia đôi hay phân chia cho nhiều tế bào ở các loài sống đơn độc. Các loài sống tập đoàn thường không thấy sinh sản sinh dưỡng. Sinh sản vô tính bằng động bào tử hai roi hay bằng bất động bào tử. Các loài sống tập đoàn sinh sản vô tính bằng cách hình thành tập đoàn con trong tế bào của tập đoàn mẹ. Sinh sản hữu tính là đẳng giao, giao tử giống như động bào tử, nhiều loài sinh sản hữu tính còn chưa rõ.Tảo phân bố chủ yếu ở nước ngọt, một số loài sống trên đất ẩm hay các vật ẩm ướt khác. Một số loài sống cộng sinh với nấm tạo địa y, cũng có loài sống ký sinh trên động vật hay thực vật. Nước lợ có độ muối dưới 5%o cũng có gặp một số loài. Nhiều loài của lớp này có hàm lượng protêin cao nên được nuôi lấy sinh khối cho chăn nuôi. Trong các thủy vực nuôi trồng thủy sản nếu có nhiều loài của lớp này là một dấu hiệu tốt. Chúng có ưu điểm là khi phát triển đạt mật độ cao cũng không gây độc hại cho động vật thuỷ sinh hoặc cản trở công việc đánh bắt thủy sản.",617adc34dafff4d09faf21d1
Protopteriopsida,Tiền dương xỉ,"Đặc điểmPhần lớn có thân thẳng đứng, có trung tụ nguyên sinh tiến đến trung tụ hình ống. Túi bào tử đơn độc, nằm trên ngọn nhánh. Vách túi có nhiều lớp tế bào, chưa có tế bào chuyên hoá. Bào tử phát tán nhờ lỗ ở đỉnh hoặc do túi vỡ ra.Là những Dương xỉ cổ nhất, tổ tiên của các loài Dương xỉ hiện đại, chúng xuất hiện từ kỷ Devo đến cuối đại Cổ sinh thì tuyệt diệu.Phân loạiGồm 3 bộ: Protopteridales, Cladoxylales và Zygopteridales.Xét 2 đại diện.+ Protopteridium là chi nguyên thuỷ nhất có thân trần, chưa có lá điển hình. Cơ thể gồm một chồi phân nhánh đôi. Nhánh cuối cung dẹp, làm nhiệm vụ quang hợp. Trên đỉnh chồi mang túi bào tử hình bầu dục dài. Vách túi có nhiều lớp tế bào.+ Cladoxylon thân mảnh, đường kính 1,5 cm, cao 30 cm. Phân nhánh không đều. Trên thân có một số cánh xếp sít nhau tạo thành một bản dạng lá làm nhiệm vụ quang hợp. Hệ thống dẫn dạng đa trụ. Túi bào tử sắp xếp đơn độc trên đỉnh cành nhỏ.",617adc34dafff4d09faf21d1
Psilotopsida,Khuyết lá thông,Psilotopsida is a class of fern-like plants. As circumscribed by Smith et al. (2006) it contains one Psilotaceae family placed in orders Psilotales. The affinities of these two groups have long been unclear and a close relationship between them has only recently been confirmed through molecular systematic studies. Psilotopsida is the sister-group to all other ferns.,617adc34dafff4d09faf21d1
Pteridospermatopsida,Dương xỉ cỏ hạt,"Pteridospermatophyta, Dương xỉ có hạt, theo các hệ thống thông dụng thì đây là một lớp trong ngành Dương xỉ (Polypodiophyta ), tức là Pteridospermatopsida.Chúng thuộc ngành Dương xỉ và có mức độ tiến hóa cao nhất, rất gần gũi với các thực vật Hạt trần, có thể tổ tiên của thực vật Hạt trần có lẽ là một nhóm gần giống với Dương xỉ có hạt.",617adc34dafff4d09faf21d1
Siphonophyceae,Tảo ống,"Tản lớn, lưỡng bội, có thể phân hoá thành thân, rễ và lá giả nhưng không có cấu trúc tế bào do khi các tế bào phân chia không hình thành vách ngăn. Do đó toàn bộ tản là một tế bào lớn chứa nhiều nhân. Vách ngăn chỉ hình thành khi bị thương hay hình thành cơ quan sinh sản. Sinh sản hữu tính là dị giao. Các túi giao tử là các nhánh dinh dưỡng hay chuyên hóa. Khi hình thành giao tử có phân chia giảm nhiễm. Hợp tử phát triển ngay thành tản dinh dưỡng lưỡng bội. Các loài của Bộ này chủ yếu phân bố ở nước lợ có độ muối 10%o trở lại. Các chi thường gặp là Codium, Bryopsis và Caulerpa.",617adc34dafff4d09faf21d1
Ulothrichophyceae,,"Tản đa bào dạng sợi có phân nhánh hoặc không, dạng bản một lớp hay nhiều lớp tế bào. Một số loài tế bào gốc phân hoá thành bộ phận chuyên hóa bám nên không có sắc tố. Sinh sản sinh dưỡng bằng đoạn sợi, sinh sản vô tính bằng động bào tử, sinh sản hữu tính chủ yếu là đẳng giao, dị giao, cũng có loài là noãn giao.",617adc34dafff4d09faf21d1
