idChi,Ten_KH,Ten_TV,Mo_ta,idHo
14,Acanthophippium,"Lan chuông, Lan yên ngựa","ACANTHOPHIPPIUM Blume[Từ chữ Hy Lạp akantha: gai và ephippion: cái yên ngựa, do liên hệ đến hình dạng của cánh môi có 1 thùy giữa nguyên với 2 thùy bên song song và có răng trông giống cái yên ngựa]Cây thảo địa sinh. Giả hành với nhiều lá rộng, gấp nếp có cuống dài.Cụm hoa ở bên, thành chùm ngắn. Hoa không nhiều, to, cuống hoa dày lên sau khi hoa nở. Lá đài dính thành ống có đỉnh trải ra; các lá đài bên men trên cằm dài. Cánh hoa thẳng, hẹp hơn, không thò. Cánh môi có móng dài, ở cuối của cằm, chia 3 thùy, các thùy bên thẳng, thùy giữa nguyên; cột khoẻ, cằm dài, cong về phía trước. Bao phấn ở ngọn; nắp dạng mũ, có 2 thùy. Khối phấn 8, dính nhau.Gồm 15 loài ở vùng nhiệt đới châu Á tới Phitgi",222
15,Acanthus,"Ô rô, Ắc ó","ACANTHUS L.[Từ tên Hy Lạp akantha: gai. Liên hệ đến các răng dạng gai của lá nhiều loài thuộc chi này]Cây mọc khỏe. Lá chia cắt ở hai bên. Hoa thành bông dây với các lá bắc ở gốc có răng ở mép. Đài hoa có 4 lá đài, tràng hoa có 3 thùy, 4 nhị.",1
16,Acasia,,,196
17,Acer,"Thích, Phong","ACER L.[Từ chữ Latin acer: cứng. Liên hệ đến độ cứng của gỗ]Phần lớn là cây gỗ to, một số là cây nhỡ. Lá mọc đối, thường chia thùy chân vịt, ít khi nguyên, có khi kép, có hình dạng và kích thước thay đổi. Hoa thành chùm hay ngù, thường có màu lục. Trên cây có thể có cả hoa lưỡng tính và hoa cái, một số loài là cây có hoa khác gốc. Quả đặc trưng bởi dạng quả có cánh gồm 2 quả xếp cân đối trên một cuống chung, với bầu phình nhiều hay ít, có một cánh dạng màng kéo dài ra.Có tới hơn 100 loài ở miền ôn đới của châu Âu, nhất là ở châu Á và Bắc Mỹ, một số loài ở Nam Phi, một số ở các đảo Xơnđa và Trung Mỹ. Nhiều loài được trồng làm cây cảnh và cây đường phố.",2
18,Achillea,"Dương kỳ thảo, Vạn diệp","ACHILLEA L.[Lấy tên của Achille, mà theo người ta nói, đã dùng cây này để điều trị các vết thương]Cây thảo sống lâu năm, ít khi có dạng bụi thấp. Lá rất biến đổi, đơn hoặc bị chia cắt nhiều. Cụm hoa hình đầu trung bình hay nhỏ, có bao chung xếp thành ngù dày đặc nhiều hay ít. Đế hoa có vẩy. Hoa ở giữa hình ống; hoa ở mép, không nhiều, dạng lưỡi. Quả dẹp.Có 85 loài của các vùng ôn đới Bắc; nhiều loài dùng làm thuốc và trồng làm cảnh",32
19,Achyranthes,"Cỏ xước, Ngưu tất","ACHYRANTHES L.Cây thảo sống dai, với thân thường hóa gỗ ở gốc. Lá mọc đối, nguyên có cuống. Cụm hoa ở ngọn, thành bông thưa hay mảnh, kéo dài với hoa và quả cách quãng; hoa lưỡng tính, đơn độc. Lá bắc tồn tại, bao quanh các hoa, lá bắc con 2, phát triển thành gai cứng. Cánh bao hoa 4 - 5 gần bằng nhau, dạng màng với một hoặc nhiều gân, tạo thành móc quanh quả. Nhị 2 - 5, có chỉ nhị dính ở gốc thành chén nhị thấp, bao phấn thuôn hay hình trứng; nhị lép 5, có răng hay vẩy xẻ tua. Bầu với chỉ có một noãn treo ở cuối một cán noãn dài; vòi dạng sợi; đầu nhụy nhỏ. Quả nang dạng túi không lông; hạt hình trứng.Có 10 loài, 4 loài ở châu Phi, vài loài là cây toàn cầu.",12
20,Acidosasa,,,244
21,Aclisia,,,84
22,Acmena,,,206
23,Acontium,Ô đầu,"ACONITUM L.,[Từ chữ Hy Lạp akoniton: kích thích; cây có tác dụng kích thích, có hiệu lực cao; có người cho là dẫn xuất từ chữ akone: là đá để làm nhọn, từ chữ aka: mũi nhọn, sắc; cũng dẫn đến ý nghĩa trên]Cây thảo sống nhiều năm, mọc đứng. Lá có thùy chân vịt hay xẻ chân vịt. Cụm hoa ở nách lá hay ở ngọn, thành chùm hay chùy. Hoa không đều, 5 lá đài dạng cánh, cái trên dạng mũ phủ một phần lên các lá đài bên; nhị nhiều; bầu có 3 - 5 lá noãn rời. Quả đại.Gồm khoảng 100 loài của các vùng ôn đới Bắc.",262
24,Acorus,"Thạch xương bồ, Xương bồ","ACORUS L.[Từ chữ Hy Lạp akoros, do chữ a: làm tăng thêm và kora: mống mắt; cây được dùng trị các bệnh về mắt]Cây thảo sống nhiều năm có gốc thành thân rễ, ra rễ ở thân, thơm. Lá đều mọc từ gốc, hình dải dài, có bẹ.Hoa nhỏ, lưỡng tính, thành bông hình trụ, màu vàng vàng. Mo không cuống, dễ rụng. Quả dạng quả mọng.Gồm có 3 loài của Cựu lục địa và Bắc Mỹ",85
25,Acrachne,,,244
26,Acriopsis,Tổ yến,"ACRIOPSIS Reinw. ex Blume[Từ chữ Hy Lạp akris, một loại sâu có cánh và opsis: giống như; giả thiết rằng có sự giống nhau của cột nhị nhụy có cánh lượn sóng ở mép với một loại sâu có cánh]Thực vật biểu sinh. Hành giả mọc thành bụi dày, dạng trứng. Lá 1 - 3, hình dải xếp nếp, dễ rụng vào mùa khô, có đốt trên bẹ ngắn.Cụm hoa mọc từ gốc, đồng thời với lá, thành chùm hay chùy, mảnh. Lá đài lưng cong nhiều hay ít về phía trước và lõm, cái ở dưới gồm 2 lá đài bên dính nhau ở dưới cánh môi. Cánh hoa 2 cái ở bên trải ra. Cánh môi dính với cột cho tới đầu nhụy và tạo thành một phần gù lõm, phần trên mọc thẳng, có 1 - 3 thùy, cột thẳng, có cánh lượn sóng ở mép. Bao phấn có 2 ô. Khối phấn 2 hay 4. Quả nang hình cầu.Gồm 12 loài ở vùng Đông Nam Á đến đảo Xôlômôn.",222
27,Acrocephalus,,,165
28,Acroceras,,,244
29,Acronychia,,,270
30,Acrosorus,,,250
31,Acrostichum,"Ráng biển, Ráng dại","ACROSTICHUM L.[Từ chữ Hy Lạp Akros: đỉnh và stichos: đường, dãy; các ổ túi bào tử tập hợp thành dãy ở một lá đặc biệt ở ngọn cây]Dương xỉ mọc ở đầm lầy, có thân mọc đứng và các lá lược kép lông chim một lần. Các ổ túi bào tử phủ kín toàn bộ mặt dưới của lá.Có 3 loài ở hầu khắp thế giớ",308
32,Actephila,Da gà,"ACTEPHILA Blume[Từ chữ Hy Lạp Aktis: tia sáng và philos: yêu, thích]Cây nhỏ không có nhựa mủ. Lá đơn, mọc so le, có lông hay nhẵn.Hoa xếp thành cụm nhỏ hoặc đơn độc ở nách lá, thường khác gốc. Các lá đài xếp lợp, cánh hoa 4 - 5 tồn tại. Hoa đực có nhị rời, nhụy lép đính ở giữa. Tuyến mật nằm đối diện với các lá đài. Quả nang.Gồm 35 loài ở vùng Ấn Độ - Mã Lai, Trung Quốc và Bắc Ôxtrâylia",128
33,Actinidia,Dương đào,"ACTINIDIA Lindl.[Từ chữ Hy Lạp Aktis: tia sáng và eidos: giống như]Cây nhỡ leo, có khi mọc đứng. Lá rụng, mọc so le, đơn. Cây đa tính hay khác gốc; hoa mọc riêng lẻ, thành xim hay thành ngù; 5 lá đài; 5 cánh hoa; nhị và vòi nhụy nhiều. Quả dạng quả mọng.
Có hơn 30 loài của vùng Ấn Độ - Mã Lai. Ở Việt Nam có 6 loài. Thường nói đến là:",4
34,Actinodaphne,,,167
35,Actinostemma,Bình trấp,"ACTINOSTEMMA Griff.[Từ chữ Hy Lạp aktis, sinh cách là aktinos: tia, tia sáng và stemma: tràng hoa]Cây thảo cùng gốc, ít khi khác gốc, có thân leo. Lá có phiến đơn, hình tim - mũi mác, nguyên hay chia thùy. Tua cuốn chẻ đôi, ít khi đơn.Cụm hoa đực thành xim nhỏ, ít hoa, xếp hình sao. Đế hoa hình chén không sâu. Lá đài 5, tràng trải ra, 5 cánh hoa rời nhau. Nhị 5, rời, đính trên đĩa ở trung tâm. Hoa cái đơn độc, thành bó hoặc chùm. Bao hoa giống với hoa đực. Bầu hình cầu hay hình trứng, có khi sần sùi; 2 - 3 ô, chứa 2 - 4 noãn treo. Quả nhỏ, thành quả hộp mở bởi một đường nứt vòng; hạt 2 - 4, dẹp, hình trái xoan, không có cánh.Gồm 3 - 4 loài ở Trung Quốc, Ấn Độ, Việt NamĐến Actinodaphne",92
36,Adansonia,Bao báp,"ADANSONIA L.[Lấy tên của nhà thực vật học người Pháp Michel Adanson (1727 -1806)]Cây gỗ có chiều cao không tương xứng với khối lượng thân có chu vi rất lớn (hơn 30m với một số loài ở đảo Capvert). Cành trải ra làm cho tán cây xòe rộng như cái dù. Lá kép chân vịt, với 3 - 5 lá chét nguyên, có cuống ngắn và có lá kèm sớm rụng. Hoa có đài với 3, 4 hay 5 lá đài dính nhau ở gốc; tràng gồm 5 cánh hoa dính nhau ở gốc và cũng dính với bộ nhị; nhị có nhiều chỉ nhị dính thành cột, phía trên rời; bầu thượng 5 - 10 ô, mỗi ô một noãn với 1 vòi nhụy chia ra số cành đầu nhụy ứng với số ô của bầu. Quả khô không mở, với hạt bao bởi một lớp cơm có bột.Có 9 - 10 loài ở châu Phi và Mađagaxca. Việt Nam có nhập trồng 1 loài  Adansonia grandidieri",45
37,Adenanthera,Trạch quạch,"ADENANTHERA L.[Từ chữ Hy Lạp adên : tuyến và anthera : bao phấn, gợi lên sự hiện diện của một tuyến ở đỉnh của bao phấn]Cây gỗ không gai. Lá kèm không thành gai. Lá hai lần lông chim; lá chét mọc so le. Cụm hoa chùm dạng bông. Hoa lưỡng tính. Đài hợp, có 5 răng xếp van. Cánh hoa 5, rời nhau trừ ở gốc. Nhị 10, hữu thụ, rời nhau, bao phấn có một tuyến có chân, sớm rụng. Bầu có cuống ngắn.Quả đặc thẳng, cong hay cuộn xoắn ốc, mở; vỏ quả dai. Hạt hình bầu dục - dạng tim, dày, vỏ hạt cứng, bóng, đỏ hay đỏ sẫm.Gồm 4 loài ở nhiệt đới châu Á và vùng Thái Bình Dương",196
38,Adenia,"Sơ kinh, Thư diệp","ADENIA Forssk.[Từ chữ aden: tuyến, do lá cây có tuyến]Dây leo thân thảo hay hóa mộc, có tua cuốn (do những phần biến đổi của cụm hoa). Lá sớm rụng, mọc so le, có cuống, đơn, nguyên hay chia ra, có lá kèm thường rất tiêu giảm, tuyến ở cuống hay phiến và cuống thường dính làm một, có tuyến ở phiến và ở mép.Cụm hoa luôn luôn là xim hai ngả ở nách lá, cuống chung của cụm hoa phát triển mang những nhánh khá mảnh, biến đổi thành tua cuốn ở đỉnh. Hoa khác gốc, cùng gốc hay đa tính, có khi lưỡng tính không đầy đủ, đều. Hoa đực nhiều hơn hoa cái. Đài hình ống có 5 thùy; 5 cánh hoa đính trên ống đài có vành với 5 phần phụ. Hoa đực có 5 nhị, bao phấn mở ô, bầu lép thường không cuống. Hoa cái có nhị lép, bầu có cuống, một ô với ba giá noãn, vòi ngắn, 3 đầu nhụy hình đầu. Quả nang thòng, có cuống với 3 van mở ô, hạt có áo hạt.Gồm khoảng 93 loài của Cựu lục địa, chủ yếu ở châu Phi",229
39,Adenium,"Sứ sa mạc, Sứ thái","ADENIUM Roem. et Schult.Cây có thân dày, chịu khô hạn, có nhựa mủ màu trắng. Lá đơn, nguyên, dễ rụng. Hoa to có cánh hợp tạo thành cụm hoa ở ngọn của cành rụng lá hay ở sát các lá. Quả đại.Có 5 loài nhiệt đới và cận nhiệt đới của châu Phi và Ả Rập",20
40,Adenoncos,,,222
41,Adenophora,"Nam sa sâm, Tuyến đài","[Từ chữ Hy Lạp aden: tuyến và phoras: mang; Hoa có một đĩa mật mang tuyến]Cây thảo sống nhiều năm, có khi hai năm, mọc đứng, có nhựa mủ. Lá mọc so le hay mọc vòng, các lá ở dưới tròn, có cuống; các lá trên hẹp, không cuống.Cụm hoa thành chùm hay chùy, ở ngọn hay ở nách lá. Hoa lưỡng tính, đều, thường theo mẫu 5, có bầu hạ. Đài có 5 thùy. Tràng hợp thành hình chuông hay phễu, với 5 thùy. Nhị 5, rời, chỉ nhị dài, có lông mịn. Bầu 2 hay 3 ô; vòi nhụy mảnh, 2 - 3 đầu nhụy, bao ở gốc bởi một đĩa hình trụ, mang tuyến mật. Quả nang, mở ở gốc bởi 3 van.Gồm 18 loài ở Châu Á, nhất là ở vùng Đông Á.",60
42,Adenosma,"Nhân trần, Tuyến hương, Bồ bồ","ADENOSMA R.Br.[Từ chữ Hy Lạp aden: tuyến và osmé: mùi thơm, hương thơm]Cỏ mọc hằng năm hay sống dai, thường có mùi thơm. Lá đơn, mọc đối, có cuống hay không, có mép nhăn.Hoa đơn độc ở nách lá hoặc mọc thành chùm có lá, hoặc là cụm hoa đầu hay dạng bông. Hai lá bắc con dạng sợi nằm đúng ngay dưới đài. Đài có 5 lá đài không đều; 3 cái ngoài lớn hơn, hình ngọn giáo rộng tới hình tim – trứng; 2 cái ở trong hình dải – ngọn giáo. Tràng hình trụ, có́ 2 môi; môi trên (ở ngoài) hình bầu dục tới tròn, nguyên hay lõm; môi dưới (ở trong) có 3 thùy. Nhị 4, không thò, 2 trội; bao phấn 2 ô rời nhau mà 1 cái sinh sản trong cả 4 nhị hoặc chỉ có 2 nhị sau sinh sản. Vòi dạng sợi; đầu nhụy dạng đấu.Quả nang hình trứng, hình nón hay bầu dục dạng trứng, thon hẹp nhiều ở đỉnh, có 2 rãnh, mở cắt vách hay mở ô bởi 4 van; hạt nhiều, nhỏ, hình bầu dục hay hình trụ ngắn; vỏ có vân mạng.Gồm 15 loài phân bố ở Đông Nam Á và ở Ôxtrâylia",284
43,Adenostemma,"Cúc trắng, Cúc dính, Cỏ mịch","ADENOSTEMMA J.R. Forst. et. G. Forst.[Từ tiếng Hy Lạp aden: tuyến và stemma: dải nhỏ, vòng]Cây thảo mọc đứng. Lá đơn, mọc đối, không lông, mép có răng cưa. Cụm hoa ở ngọn, các đầu hoa gồm toàn hoa hình ống có đầu nhụy dài; lá bắc 2 hàng mà hàng trong dính nhau. Quả bế có lông gai phù ở đầu.Có 20 loài thuộc vùng nhiệt đới châu Mỹ, châu Phi và một loài liên nhiệt đới. Ở Việt Nam có 2 loài, nhưng phổ biến là Adenostemma lavenia",32
44,Adiantum,Tóc thần,"ADIANTUM L.[Từ adiantos: không thấm nước, do chữ a: không và diaino: tôi thấm nước. Nước không dính vào mặt của lá cây]Dương xỉ có thân rễ mọc bò, cuống lá bóng loáng, mảnh, nhẵn, có khi có lông. Lá lược đơn, hai lần lông chim, ba lần và có khi bốn lần. Các đoạn cuối hình tam giác hay bình hành. Túi bào tử đính trong những khoang mà các vách dựng lên từ lá lược đến áo túi. Áo túi ở mép mở vào phía trong.Có khoảng 280 loài nhiệt đới; châu Mỹ chiếm đến nửa số loài, một số loài ở các miền ôn đới, phần lớn ưa đá vôi. Nhiều loài được trồng làm cảnh",5
45,Adina,Gáo vàng,"ADINA SalisbCây nhỡ hay cây gỗ. Lá có cuống; lá kèm rộng, chẻ đôi, sớm rụng.Cụm hoa có hoa nằm giữa các lá bắc, tập hợp thành đầu hình cầu, đơn độc hay thành chùy; đế hoa có lông. Lá đài 5, ống đài có góc; cánh hoa 5, tiền khai van; ống dài; loe thành phễu; có họ̣ng nhẵn. Nhị 5, đính ở ngọn của tràng, chỉ nhị ngắn. Bầu có 2 ô, vòi dạng sợi, đầu nhụy hình đầu; noãn 1 - 4, lợp và treo ở giá noãn.Quả nang mang lá đài tồn tại, họp thành đầu nhưng rời nhau, hạt thuôn, có cánh.Gồm 3 loài ở các vùng nhiệt đới Châu Á và Châu Mỹ",268
46,Adinandra,Dương đồng,"ADINANDRA JackCây gỗ ít khi là cây bụi, nhánh non có lông nhung. Lá đơn, mọc so le, có kích thước trung bình hay lớn. Hoa mọc đơn độc ở nách lá, lưỡng tính, mẫu 5. Lá đài có lông mềm hay lông ráp. Cánh hoa không lông hay chỉ có lông ở mặt ngoài. Nhị nhiều, tới 25. Bao phấn có lông ngắn hay dài và có mũi nhọn. Bầu trên, không lông hay có lông mềm; noãn nhiều.Quả khô không tự mở; hạt nhiều, nhỏ.Gồm 70 loài ở vùng Ấn Độ - Mã Lai",307
47,Adrographis,,,1
48,Aegicera,"Sú, Trú, Cát, Mắm","AEGICERAS Gaertn.,[Từ chữ Hy Lạp aix, aigos:  con dê núi]Cây bụi hay cây nhỡ. Lá đơn mọc so le, phiến dày, cứng. Cụm hoa chùy ở ngọn, gồm nhiều tán; đài vặn, tràng vặn, nhị 5 có chỉ nhị đính vào đáy tràng, bao phấn có ngăn ngang. Quả khô; hạt không có nội nhũ, mọc mầm ngay trên cây mẹ.Gồm hai loài của Cựu lục địa, thường gặp ở các vùng ngập mặn dọc bờ biển. Ở Việt Nam có 2 loài, phổ biến là: Aegiceras corniculatum",205
49,Aeginetia,"Lệ đương, Tai đất","AEGINETIA L.Cỏ. Thân ngắn hoặc ít phân nhánh. Hoa to, đơn độc hoặc không nhiều, thành ngù; lá bắc con không có. Đài hình mo, xẻ phía trước, có mép nguyên. Tràng cong hình cung, dạng chuông hay hình ống, hơi chia 2 môi. Nhị không thò, hai trội, hai bao phấn trên với 1 ô đầy đủ và không có cựa, 2 cái dưới với 1 ô đầy đủ và một phần phụ dưới: cựa (hay sừng) lõm, nạc. Bầu 1 ô; giá noãn 4, thành hai đôi đối nhau, dạng bản, phân nhánh và xoắn, không đều; vòi nhụy ở đỉnh, dài và cong; đầu nhụy rộng, hình khiên.Quả nang có 2 van; hạt nhiều, nhỏ.Gồm 3 loài của vùng Ấn Độ - Mã Lai và Đông Á.",223
50,Aegle,"Bầu nâu, Trái nâm, Quách","AEGLE Correa[Từ chữ Hy Lạp aiglé: sự huy hoàng, sự chói lọi; quả cây có màu vàng cam đẹp ở Ấn Độ]Cây gỗ có lá rụng. Lá kép 3 lá chét. Cụm hoa chùm đơn hay kép, ít khi là hoa đơn độc, mẫu 4 - 5. Nhị rất nhiều, ít nhất cũng là gấp 3 số cánh hoa, xếp nhiều vòng, rời nhau. Bầu nguyên, mỗi ô chứa nhiều noãn.Quả nạc, không mở, gồm 10 - 15 ô; thịt quả nhầy như thạch; hạt có lớp lông như dạ phớt.Gồm 3 loài của vùng Ấn Độ - Mã Lai. Ở Việt Nam có 1 loài : Aegle marmelos",270
51,Aeluropus,,,244
52,Aerides,"Lan giáng hương, Lan quế","AERIDES Lour.[Từ chữ Hy Lạp aer: không khí và eidos: tương tự, liên hệ đến khả năng của các loài cây này có thể mọc trên các cây gỗ và ở cách mặt đất một khoảng khá xa, mà ở đó chúng vẫn có khả năng hút các chất lấy từ trong khí quyển]Cây có thân, dạng thảo, biểu sinh. Rễ phụ  sinh dày. Lá xếp hai dãy, dai hay gần như nạc, dẹp.Cụm hoa thành chùm, có khi phân nhánh, dày đặc; hoa nhiều. Các mảnh bao hoa gần bằng nhau và trải ra, các lá đài bên thường nghiêng ở gốc và dính với chân kéo dài của cột; cánh môi có khi phẳng, có khi chia thùy hình túi hoặc có cựa, thành khớp với chân của cột. Cột ngắn và dày. Bao phấn có 2 ô với 2 khối phấn hình cầu.Gồm 40 loài ở các vùng nhiệt đới và Đông Á, Tây Malaixia",222
53,Aerva,"Rau chua, Mao vĩ","AERVA Forssk.[Có lẽ là tên ARập của cây]Cỏ hay cây bụi thấp, có thân phủ đầy lông nhung. Lá ở phía gốc thường mọc so le (ít khi mọc đối) đôi khi mọc vòng ở phía trên của thân. Cụm hoa ở ngọn hay nách lá, thành bông dày đặc, hình trụ hay hình cầu, thành xim hay chùy, đơn hay kép; hoa đơn tính hay lưỡng tính. Lá bắc tồn tại bao quanh hoa; lá bắc con 2. Bao hoa gồm 4 - 5 phiến, có khi có lông len. Nhị 4 - 5, có chỉ nhị dính ở gốc thành ống ngắn, nhị lép dạng dùi. Bầu dẹp, không lông, noãn treo, vòi nhụy ngắn, đầu nhụy hình đầu hay chẻ đôi. Quả dạng túi, mở không đều; hạt 1, hình thận.Có tới 10 loài phân bố ở các vùng nhiệt đới và cận nhiệt đới của Cựu lục địa",12
54,Aesandra,Xưng đào,"AESANDRA PierreCây gỗ lớn có lá mọc chụm ở đầu cành. Chùm hoa ở đầu cành. Hoa có 4 lá đài thành 2 vòng, cái ở ngoài, cái ở trong; cánh hoa hợp thành ống với 11 - 15 thùy; số nhị gấp đôi số cánh hoa, bầu có 12 ô, nằm sâu trong vòi nhụy dài. Quả mọng chứa 5 - 6 hạt; hạt giàu phôi nhũ.Nhiều tác giả xếp chi này vào chi Diploknema Pierre. Chi này gồm 7 loài của vùng Ấn Độ - Mã Lai. Ở Việt Nam có 1 loài :Aesandra dongnaiensis",277
55,Aeschynanthus,"Má đào, Hoa ky","AESCHYNANTHUS -  Jack[Từ chữ Hy Lạp aeschyne: sự xấu hổ, bẽn lẽn và anthos: hoa]Cây leo, mọc bò hay biểu sinh, cây bụi thấp hay cây hóa gỗ. Lá mọc đối, đơn, dày, thường nguyên.Hoa tập hợp thành xim đơm ở nách lá hoặc ở ngọn cây. Đài hợp có 5 thùy, tràng hợp hình ống có 5 thùy không đều. 5 nhị đính trên tràng. Bầu một ô, chứa nhiều noãn; vòi nhụy dạng sợi.Quả nang nom như một quả cải dài. Hạt nhỏ, ở đỉnh có một hay nhiều tơ.Gồm tới 100 loài ở vùng Ấn Độ - Mã Lai.",136
56,Aeschynomene,"Rút dại, Rút đất, Điền ma","AESCHYNOMENE L.[Từ chữ Hy Lạp aeschynomens: làm biến dạng; làm thay đổi do lá rất nhạy cảm với sự tiếp xúc]Cây nhỏ thấp hay cỏ cứng, có thân phủ lông. Lá mọc so le, kép lông chim lẻ, nhạy cảm ít nhiều với xúc giác; lá chét mọc so le, hình dải, rất sít nhau. Lá kèm cụt hay kéo dài.Cụm hoa ở nách lá thành chùy ít hoa. Lá bắc nhỏ, tồn tại. Đài chia 2 môi sâu. Tràng hoa vàng hay tím; cánh cờ tròn, cánh thìa không có mỏ. Nhị 1 bó hay 2 bó; bao phấn lắc lư. Bầu có cuống, hình dải, chứa 2 - 28 noãn; vòi dạng sợi.Quả hình dải hẹp, mỏng, chia thành đốt, mỗi đốt chứa một hạt, hạt thuôn hay hình thận.   Chi này gồm khoảng 150 loài, phổ biến ở các vùng nhiệt đới và cận nhiệt đới của Trung và Nam Mỹ, của châu Phi và châu Á",129
